id	name	entrez_id	description	aliases/0	aliases/1	aliases/2	aliases/3	aliases/4	aliases/5	aliases/6	aliases/7	aliases/8	aliases/9	aliases/10	aliases/11	aliases/12	aliases/13	aliases/14	aliases/15	aliases/16	aliases/17	aliases/18
60	IGF2	3481		IGF2	IGF-II	GRDF	C11orf43	PP9974														
61	AURKA	6790		AIK	AURKA	BTAK	STK7	ARK1	STK6	AURA	STK15	PPP1R47										
62	PBRM1	55193		PBRM1	PB1	BAF180																
63	EZH2	2146		EZH2	WVS	WVS2	ENX-1	EZH2b	KMT6A	KMT6	ENX1											
64	KMT2D	8085		AAD10	TNRC21	MLL2	KMS	KABUK1	CAGL114	ALR	MLL4	KMT2D										
65	BTK	695		AGMX1	PSCTK1	AT	IMD1	XLA	BPK	ATK	BTK											
66	APC	324		BTPS2	GS	APC	PPP1R46	DP2	DP2.5	DP3												
67	AR	367		AR	DHTR	TFM	AIS	SMAX1	SBMA	NR3C4	KD	HYSP1	HUMARA	AR8								
68	ASXL1	171023		BOPS	ASXL1	MDS																
69	ATM	472	"ATM is a DNA-damage response gene that is commonly mutated in cancer. Germline mutations in this gene are thought to contribute to breast cancer susceptibility, and PARP inhibition is currently being studied for it's potential in treating these patients."	TEL1	TELO1	ATE	ATC	ATDC	ATD	ATA	ATM	AT1										
70	BAP1	8314	"BAP1 is a deubiquitylase thought to be a key regulator of many cancer-associated pathways. Germline alterations in BAP1 have been characterized as predisposing variants to familial melanocytic skin tumors. These alterations also have been linked to the development of mesothelioma, uveal melanoma, cutaneous melanoma and others. Clinically, the role of BAP1 is still being investigated. However, the development of intradermal tumors known as melanocytic BAP1-associated intradermal tumors (MBAITs) are enough for a patient to be subject to more intense surveillance to catch other malignancies as early as possible."	BAP1	hucep-6	HUCEP-13	UCHL2															
71	ERG	2078		ERG	p55	erg-3																
72	FOXL2	668		PINTO	PFRK	BPES1	BPES	FOXL2	POF3													
73	IKZF1	10320		Hs.54452	ZNFN1A1	IK1	CVID13	PRO0758	LyF-1	LYF1	PPP1R92	IKAROS	IKZF1									
74	NCOA3	8202		NCOA3	pCIP	bHLHe42	TRAM-1	TNRC16	TNRC14	SRC3	KAT13B	CTG26	CAGH16	AIB1	AIB-1	ACTR	SRC-3	RAC3				
75	PAX8	7849	PAX8 is one of nine transcription factors within the PAX gene family. It has been observed to be expressed during embryonic development however expression attenuates after development in all but a few tissues. Research has indicated that over-expression of PAX proteins in general are not an initiating event in tumorgenesis however they may facilitate malignant development. PAX8 is expressed in 80-96% of all High-grade serous carcinomas (HGSC) and is commonly used as a marker for the disease. In addition PAX8 has become a useful biomarker for differentiating between mullerian mucinous and non-mullerian tumors. PAX8 has also been associated with neoplasms in the kidney and thyroid.	PAX8																		
76	PGR	5241		PR	PGR	NR3C3																
77	SMAD4	4089		SMAD4	DPC4	MYHRS	MADH4	JIP														
78	SMARCA4	6597		hSNF2b	SMARCA4	BRG1	CSS4	BAF190A	SWI2	RTPS2	SNF2LB	MRD16	SNF2L4	SNF2	BAF190							
79	TERT	7015		DKCA2	TERT	DKCB4	EST2	PFBMFT1	CMM9	hTRT	TP2	hEST2	TRT	TCS1								
80	TTF1	7270		TTF-I	TTF1	TTF-1																
128	ACTA1	58		ACTA1	SHPM	NEM3	NEM2	NEM1	MPFD	CFTDM	CFTD1	CFTD	ASMA	ACTA								
154	ACVR1	90		ACVR1	TSRI	SKR1	FOP	ALK2	ACVRLK2	ACVR1A	ACTRI											
254	AKT2	208		AKT2	RAC-BETA	PRKBB	PKBBETA	PKBB	HIHGHH													
259	ALCAM	214		CD166	ALCAM	MEMD																
353	BIRC3	330		BIRC3	c-IAP2	RNF49	MIHC	MALT2	HIAP1	HAIP1	CIAP2	API2	AIP1									
355	BIRC5	332		BIRC5	EPR-1	API4																
389	AREG	374		SDGF	CRDGF	AR	AREG	AREGB														
399	RHOA	387		RHOA	RHO12	ARHA	ARH12	RHOH12														
446	ASNS	440		ASNS	TS11	ASNSD																
524	ATR	545		MEC1	SCKL	FRP1	ATR	SCKL1	FCTCS													
525	ATRX	546		XNP	MRX52	RAD54L	RAD54	ATRX	ZNF-HX	XH2	JMS											
533	AXL	558		UFO	Tyro7	JTK11	ARK	AXL														
537	B2M	567		B2M	IMD43																	
593	PRDM1	639		PRDM1	BLIMP1	PRDI-BF1																
732	CALR	811		SSA	CALR	HEL-S-99n	CRT	RO	cC1qR													
761	CASP8	841		ALPS2B	Casp-8	CAP4	MCH5	FLICE	CASP8	MACH												
776	CBFB	865	"CBFB has been shown to be mutated in estrogen receptor positive breast cancer, although the significance of many of these mutations is yet to be determined. The CBFB-MYH11 fusion is a commonly accepted marker of favorable prognosis in acute myeloid leukemia."	PEBP2B	CBFB																	
779	CBLB	868		Nbla00127	Cbl-b	RNF56	CBLB															
855	CD44	960		CD44	Pgp1	MDU3	MC56	LHR	IN	HUTCH-I	CSPG8	CDW44	HCELL	ECMR-III	MIC4	MDU2						
888	CDH1	999		CDH1	UVO	ECAD	CDHE	Arc-1	CD324	LCAM												
913	CDKN1A	1026		MDA-6	CDKN1A	WAF1	SDI1	P21	CIP1	CDKN1	CAP20	p21CIP1										
914	CDKN1B	1027		MEN4	MEN1B	CDKN1B	CDKN4	P27KIP1	KIP1													
916	CDKN2B	1030		MTS2	CDK4I	INK4B	CDKN2B	P15	p15INK4b	TP15												
927	CDX2	1045		CDX2/AS	CDX3	CDX-3	CDX2															
1239	CSF3R	1441		CSF3R	SCN7	GCSFR	CD114															
1285	CTLA4	1493		GRD4	CTLA4	GSE	CTLA-4	CD152	CD	ALPS5	IDDM12	CELIAC3										
1290	CTNNB1	1499		MRD19	armadillo	CTNNB	CTNNB1															
1342	CYP2D6	1565		CPD6	CYP2D6	P450DB1	P450C2D	P450-DB1	CYPIID6	CYP2DL1	CYP2D7P2	CYP2D7BP	CYP2D	CYP2D8P2	CYP2D7AP							
1396	DCC	1630		DCC	NTN1R1	MRMV1	IGDCC1	CRC18	CRCR1													
1411	GADD45A	1647		GADD45A	GADD45	DDIT1																
1413	DDIT3	1649		DDIT3	GADD153	CHOP10	CHOP-10	CHOP	CEBPZ													
1428	DEFA1	1667		DEFA1	MRS	HP1	HP-1	HNP-1	DEFA2	DEF1												
1463	NQO1	1728		DIA4	DTD	NQO1	DHQU	NMORI	NMOR1	QR1												
1510	DNMT1	1786		ADCADN	HSN1E	CXXC9	MCMT	DNMT1	AIM	DNMT	m.HsaI											
1526	DPYD	1806		DPYD	DHPDHASE	DPD	DHP															
1567	DUSP6	1848		HH19	DUSP6	PYST1	MKP3															
1634	EGF	1950		EGF	HOMG4	URG																
1646	EIF1AX	1964		EIF4C	eIF-1A	EIF1AP1	eIF-4C	EIF1AX	EIF1A													
1655	EIF4EBP1	1978		BP-1	4EBP1	EIF4EBP1	4E-BP1	PHAS-I														
1705	EPAS1	2034		EPAS1	HIF2A	ECYT4	HLF	MOP2	PASD2	bHLHe73												
1721	EPHB4	2050		TYRO11	HTK	HFASD	MYK1	EPHB4														
1733	ERBB3	2065		c-erbB-3	MDA-BF-1	ERBB3	p85-sErbB3	p45-sErbB3	p180-ErbB3	erbB3-S	LCCS2	HER3	ErbB-3	c-erbB3								
1734	ERBB4	2066	"ErbB4 (HER4) is one of the four members in the EGFR subfamily of receptor tyrosine kinases. Ligands include EGF, epiregulin, betacellulin and the neuregulins (Sundvall et. al.). Of these, NRG3 and NRG4 exclusively bind HER4 (Hynes et. al.). Mutations in ERBB4 have been identified in various cancer types including melanoma, lung adenocarcinoma and medulloblastoma. A therapeutic value of these aberrations still remains unknown (Arteaga et. al.)."	ALS19	ERBB4	HER4	p180erbB4															
1735	ERCC1	2067		ERCC1	UV20	RAD10	COFS4															
1736	ERCC2	2068	"ERCC2 functions as a DNA repair gene involved in separating the double helix via 5Ã¢â‚¬â„¢-3Ã¢â‚¬â„¢ helicase activity. It forms a part of the transcription factor II Human (TFIIH) complex and is ATP-dependent. The TFIIH complex is known to be involved in the nucleotide excision repair pathway (NER) which can repair DNA damage caused by chemotherapeutic treatment and basal transcription. ERCC2 variants have been observed in a variety of cancers. A number of studies have suggested ERCC2 variants can act as biomarkers to predict response to neoadjuvant treatment, and cancer prognosis. Additionally the Lys751Gln polymorphism has been observed to increase risk in a number of cancer types; however, results have been conflicting."	TTD1	XPD	TTD	TFIIH	COFS2	ERCC2	EM9												
1737	EREG	2069		Ep	ER	EPR	EREG															
1741	ERCC5	2073		XPG	UVDR	ERCM2	ERCC5-201	ERCC5	XPGC	COFS3												
1763	ETS2	2114		ETS2IT1	ETS2																	
1767	ETV4	2118		E1A-F	PEA3	E1AF	ETV4	PEAS3														
1811	FANCC	2176		FANCC	FA3	FAC	FACC															
1842	FCGR2A	2212		FCGR2A	FcGR	FCGR2A1	FCGR2	FCG2	CD32A	CD32	IGFR2	CDw32										
1843	FCGR2B	2213		FCGR2B	IGFR2	FCGR2	FCG2	CD32B	CD32													
1844	FCGR3A	2214		FCRIII	FCG3	IMD20	IGFR3	FCRIIIA	FCR-10	FCGRIII	FCGR3	CD16A	CD16	FCGR3A								
1872	FGF2	2247		FGFB	FGF2	HBGF-2	FGF-2	BFGF														
1873	FGF3	2248	"FGF3 is a member of the basic fibroblast growth factor (FGF) gene family and was first identified  based on it's similarity to the mouse proto-oncogene int-2. Amplifications of this gene and the surrounding region (11q13) have been observed in various cancers including breast cancer, esophogeal cancer, melanoma, bladder cancer and hepatocellular carcinoma (HCC). Lower tumor grade and stage have been associated with FGF3 amplifications in HCC; however, this event is fairly rare in this tumor type."	FGF3	INT2	HBGF-3																
1883	FGF13	2258		FGF2	FGF13	FHF-2	FHF2	FGF-13														
1885	FGFR1	2260	"FGFR1 is a member of the Fibroblast Growth Factor family, comprising of 4 receptors and 18 Ligands. FGFR1 signalling downstream functions mainly via PI3K and MAPK pathways (Turner et. al.). Several ways of involvement of FGFR1 in cancer have been proposed: auto- and paracrine activation, amplification and overexpression (Marshall et. al,  Weiss et. al.,  Cheng et. al.).Especially amplification of FGFR1 in lung cancer is an emerging treatment target with clinical studies currently ongoing (e.g. NCT01004224). However, FGFR1 amplification does not always correlate with protein expression and predictive biomarkers still remain to be defined in clinic (von MÃƒ_ssenhausen et. al.).Mutation of FGFR1 seems to be less common, but has been described in glioblastoma, pilocytic astrocytomas and Ewing's sarcoma (Rand et. al., Jones et. al., Agelopoulos et. al.)."	FGFBR	FLT-2	CEK	BFGFR	CD331	FGFR-1	OGD	FGFR1	FLT2	ECCL	HH2	bFGF-R-1	FLG	N-SAM	HRTFDS	KAL2	HBGFR		
1950	FNTB	2342		FPTB	FNTB																	
1955	FOS	2353		FOS	p55	C-FOS	AP-1															
2073	MTOR	2475	"mTOR deregulation has been observed in many cancer types. As a part of the PI3K/Akt pathway, there is a broad interest in mTOR biology across cancer types. mTOR inhibition has been investigated for nearly a decade. Everolimus, temsirolimus and zotarolimus are three of the more commonly used mTOR inhibitors used in clinical treatment today, with modest success."	MTOR	RAFT1	SKS	FRAP2	FRAP	RAPT1	FRAP1												
2186	GAS6	2621		GAS6	AXSF	AXLLG																
2239	B4GALT1	2683		beta4Gal-T1	B4GAL-T1	GGTB2	GT1	GTB	B4GALT1	CDG2D												
2279	GLI1	2735		GLI1	GLI																	
2308	GNA11	2767		GNA-11	HYPOC2	HHC2	FHH2	FBH2	GNA11	FBH												
2317	GNAQ	2776		G-ALPHA-q	GNAQ	SWS	CMC1	GAQ														
2319	GNAS	2778		SCG6	POH	C20orf45	GSP	GPSA	SgVI	GNAS	AHO	NESP	GSA	GNAS1								
2473	GSTP1	2950		GSTP	DFN7	PI	GSTP1	FAEES3	HEL-S-22	GST3												
2478	MSH6	2956		HSAP	MSH6	GTBP	p160	HNPCC5	GTMBP													
2591	HGF	3082		DFNB39	SF	HGF	F-TCF	HGFB	HPTA													
2593	NRG1	3084		NRG1	SMDF	NRG1-IT2	NDF	MSTP131	MST131	HRGA	HRG1	HRG	HGL	GGF2	GGF	ARIA						
2596	HIF1A	3091		PASD8	HIF1	HIF1A	bHLHe78	HIF-1-alpha	HIF1-ALPHA	HIF-1alpha	HIF-1A	MOP1										
2608	HLA-C	3107		PSORS1	D6S204	HLA-C	MHC	HLAC	HLC-C	HLA-JY3												
2622	HLA-DRA	3122		HLA-DRA	HLA-DRA1																	
2657	HMOX1	3162		HMOX1	bK286B10	HSP32	HMOX1D	HO-1														
2747	HRAS	3265		RASH1	C-BAS/HAS	HAMSV	p21ras	CTLO	H-RASIDX	HRAS1	C-H-RAS	C-HA-RAS1	HRAS									
2778	HSPA5	3309		HEL-S-89n	BIP	HSPA5	MIF2	GRP78														
2784	HSPB1	3315		HSPB1	SRP27	Hsp25	HSP28	HSP27	HS.76067	HMN2B	HEL-S-102	CMT2F										
2899	IGF1R	3480		JTK13	IGFR	IGFIR	IGF1R	CD221														
3090	JAK1	3716		JAK1A	JTK3	JAK1B	JAK1															
3094	JUN	3725		AP1	AP-1	JUN	c-Jun															
3153	KDR	3791		VEGFR2	KDR	VEGFR	CD309	FLK1														
3215	KRT18	3875		CYK18	KRT18	K18	CK-18															
3255	STMN1	3925		STMN1	SMN	PR22	PP19	PP17	OP18	Lag	LAP18	C1orf215										
3274	LEPR	3953		CD295	LEPRD	LEP-R	LEPR	OB-R	OBR													
3364	EPCAM	4072		TACSTD1	EPCAM	MK-1	M4S1	KSA	KS1/4	HNPCC8	ESA	EGP40	EGP314	EGP-2	DIAR5	TROP1	MIC18					
3465	MDM2	4193		MDM2	hdm2	HDMX	ACTFS															
3485	MEN1	4221		MEN1	MEAI	SCG2																
3529	MKI67	4288		PPP1R105	MIB-1	MIB-	KIA	MKI67														
3532	MLH1	4292	"MLH1 is a tumor suppressor gene involved in DNA mismatch repair. Germline mutations in this gene are known to cause Lynch syndrome. The most common malignancies in Lynch syndrome are colorectal and endometrial carcinomas. In addition to germline mutations, somatic mutations in this gene have been described in colorectal and endometrial cancers."	COCA2	MLH1	hMLH1	HNPCC2	HNPCC	FCC2													
3537	KMT2A	4297		TRX1	ALL-1	KMT2A	WDSTS	MLL1A	MLL1	MLL	HTRX1	HRX	CXXC7									
3549	MMP2	4313		MMP-II	MMP2	MONA	CLG4A	CLG4	TBE-1	MMP-2												
3553	MMP9	4318		MMP9	MMP-9	MANDP2	GELB	CLG4B														
3586	MRE11	4361		MRE11B	MRE11A	MRE11	ATLD	HNGS1														
3628	MSH2	4436		MSH2	COCA1	LCFS2	HNPCC1	HNPCC	FCC1													
3659	MTAP	4507		BDMF	DMSFH	MTAP	DMSMFH	c86fus	MSAP	LGMBF	HEL-249											
3672	MTHFR	4524		MTHFR																		
3738	MYCL	4610		MYCL	bHLHe38	LMYC	L-Myc	MYCL1														
3741	MYCN	4613		MYCN	bHLHe37	ODED	MODED	NMYC	N-myc													
3742	MYD88	4615		MYD88D	MYD88																	
3852	NEDD9	4739		CAS2	HEF1	CASS2	NEDD9	CASL	CAS-L													
3867	NF1	4763		WSS	NFNS	NF1	VRNF															
3870	NF2	4771		NF2	BANF	SCH	ACN															
3976	NT5E	4907		CALJA	NT5E	eNT	eN	NTE	NT5	NT	E5NT	CD73										
3983	NTRK1	4914		TRKA	MTC	Trk-A	p140-TrkA	TRK1	TRK	NTRK1												
3985	NTRK3	4916		TRKC	NTRK3	gp145(trkC)	GP145-TrkC															
4176	PDGFRB	5159		JTK12	PDGFR-1	PDGFR1	PDGFR	PENTT	IMF1	KOGS	PDGFRB	CD140B	IBGC4									
4244	ABCB1	5243		GP170	PGY1	ABC20	CD243	MDR1	ABCB1	CLCS	P-GP											
4286	PIM1	5292		PIM1	PIM																	
4289	PIK3R1	5295		PIK3R1	p85-ALPHA	p85	IMD36	GRB1	AGM7													
4371	PMS2	5395		PMS2	PMS2CL	MLH4	PMSL2	HNPCC4														
4386	POLE	5426		POLE	FILS	POLE1	CRCS12															
4419	POU5F1	5460		POU5F1	3-Oct	OTF4	OTF3	OTF-3	4-Oct	3-Oct	4-Oct											
4503	PRKAA2	5563		PRKAA2	AMPK2	AMPK	PRKAA	AMPKa2														
4532	MAPK1	5594		MAPK2	p41mapk	MAPK1	p42-MAPK	PRKM2	p41	P42MAPK	p40	ERT1	p38	ERK2	ERK-2	ERK	PRKM1					
4546	MAP2K7	5609		PRKMK7	MEK 7	MAP2K7	SAPKK4	SAPKK-4	MKK7	MEK	MAPKK7	JNKK2										
4616	PSMB8	5696		LMP7	D6S216E	PSMB8	RING10	PSMB5i	NKJO	JMP	D6S216	ALDD										
4645	PTCH1	5727		BCNS	PTCH11	PTC1	PTCH1	PTCH	HPE7	PTC	NBCCS											
4659	PTGS2	5743		hCox-2	PTGS2	PHS-2	PGHS-2	PGG/HS	GRIPGHS	COX2	COX-2											
4685	PTPN11	5781		SHP2	PTP2C	PTPN11	METCDS	JMML	SH-PTP2	PTP-1D	CFC	SH-PTP3	NS1	BPTP3								
4690	PTPRB	5787		PTPRB	VEPTP	R-PTP-BETA	PTPB	HPTPB	HPTP-BETA													
4692	PTPRD	5789		HPTPDELTA	RPTPDELTA	HPTP	PTPRD	PTPD	HPTPD													
4753	RAC1	5879	"The RAC1 P29S mutation is the third most common protein-coding hotspot mutation in melanomas, ocurring in 4-9%. A preclinical study has shown that this mutation confers resistance to BRAF inhibition in-vitro."	RAC1	MIG5	TC-25	Rac-1	p21-Rac1														
4760	RAD23B	5887		RAD23B	P58	HR23B	HHR23B															
4765	RAD51D	5892		R51H3	BROVCA4	RAD51L3	RAD51D	TRAD														
4767	RAF1	5894		CMD1NN	CRAF	NS5	Raf-1	c-Raf	RAF1													
4795	RB1	5925		pp110	pRb	RB	p105-Rb	RB1	PPP1R130	OSRC												
4875	RIT1	6016		NS8	RIT1	ROC1	RIT	RIBB														
4941	ROS1	6098	"ROS1 is a receptor tyrosine kinase that is frequently involved in genetic rearrangement in a variety of human cancers (e.g. NSCLC, gastric cancer, ovarian cancer, cholangiocarcinoma, colorectal cancer, angiosarcoma...). The resulting fusion protein harbors the constitutively active ROS1 kinase domain and drives cellular proliferation (Davies et. al.). In NSCLC about 1% harbor a ROS1 rearrangement. These patients are predominantely female and have a lower T-stage (Warth et. al.). Treatment with crizotinib leads to a reported objective response rate of appr. 70% and a median duration of response of 18 months (Shaw et. al.). Resistance mechanisms to crizotinib have been described and involve mutations in the kinase domain. More selective inhibitors of ROS1 might overcome this resistance (Davare et. al.)."	ROS1	ROS	c-ros-1	MCF3															
5013	RPS6	6194		S6	RPS6																	
5051	RRM1	6240		R1	RRM1	RR1	RIR1															
5052	RRM2	6241		R2	RR2	RRM2	RR2M															
5210	SRSF2	6427		SRSF2	SRp30b	SFRS2A	SFRS2	SC35	SC-35	PR264												
5225	SGK1	6446		SGK	SGK1																	
5356	SMARCB1	6598		SMARCB1	SNF5L1	CSS3	Sfh1p	hSNFS	RTPS1	Snr1	SWNTS1	SNF5	MRD15	BAF47	RDT	PPP1R144	INI1					
5365	SMO	6608		CRJS	FZD11	SMO	SMOH	Gx														
5418	SOX10	6663		WS4C	SOX10	WS4	DOM	WS2E	PCWH													
5500	SSX1	6756		CT5.1	SSRC	SSX1																
5501	SSX2	6757		CT5.2	HOM-MEL-40	SSX2	CT5.2A	SSX	HD21													
5503	SSX4	6759		CT5.4	SSX4																	
5516	STAT3	6774		ADMIO	HIES	ADMIO1	APRF	STAT3														
5534	STK11	6794		LKB1	hLKB1	PJS	STK11															
5572	SYK	6850		p72-Syk	SYK																	
5649	ZEB1	6935		BZP	FECD6	ZFHEP	AREB6	ZEB1	ZFHX1A	TCF8	PPCD3	NIL2A	DELTAEF1									
5737	TFF3	7033		ITF	P1B	TFF3	TFI															
5742	TGFA	7039		TGFA	TFGA																	
5761	THBS2	7058		THBS2	TSP2																	
5777	TIMP1	7076		TIMP1	HCI	TIMP-1	CLGI	EPO	TIMP	EPA												
5845	TOP1	7150		TOP1	TOPI																	
5848	TOP2A	7153		TP2A	TOP2A	TOP2																
5971	TYMS	7298		TMS	TS	TYMS	HST422															
6023	UGT1A	7361		UGT1	UGT1A	GNT1	UGT	UGT1A@														
6071	VEGFA	7422		VEGF	VEGFA	VPF	MVCD1															
6104	WEE1	7465		WEE1	WEE1A	WEE1hu																
6144	XRCC1	7515		RCC	XRCC1																	
6329	CXCR4	7852		CD184	WHIMS	NPYY3R	LAP-3	NPY3R	LCR1	LESTR	HM89	FB22	D2S201E	LAP3	CXCR4	WHIM	NPYR	NPYRL	HSY3RR			
6559	ARID1A	8289		P270	hOSA1	C1orf4	BM029	ARID1A	CSS2	hELD	OSA1	MRD14	ELD	BAF250	B120	BAF250a	SMARCF1					
6906	ABCC3	8714		ABCC3	cMOAT2	MRP3	MOAT-D	ABC31	EST90757	MLP2												
7009	CFLAR	8837		Casper	c-FLIP	CFLAR	c-FLIPS	c-FLIPR	FLIP	FLAME	CASP8AP1	CASH	CLARP	FLAME-1	c-FLIPL	FLAME1	MRIT	I-FLICE				
7014	PROM1	8842		PROM1	RP41	AC133	CD133	MSTP061	STGD4	MCDR2	CORD12	PROML1										
7024	ALDH1A2	8854		RALDH(II)	ALDH1A2	RALDH2-T	RALDH2															
7041	SPHK1	8877		SPHK1	SPHK																	
7297	PTTG1	9232		PTTG1	TUTR1	PTTG	HPTTG	EAP1														
7451	ABCG2	9429		UAQTL1	CD338	ABC15	BCRP	MXR	MRX	MXR-1	EST157481	ABCG2	CDw338	BMDP	BCRP1	ABCP	GOUT1	MXR1				
7502	KIF23	9493		KIF23	MKLP1	CHO1	KNSL5	MKLP-1														
7936	AKT3	10000		AKT3	RAC-PK-gamma	PKBG	RAC-gamma	PKB-GAMMA	MPPH	MPPH2	PRKBG	STK-2										
7953	BCL2L11	10018		BCL2L11	BOD	BAM	BIM															
7954	SH2B3	10019		LNK	SH2B3	IDDM20																
8032	RAD50	10111		hRad50	RAD50	NBSLD	RAD502															
8262	TUBB3	10381		TUBB3	TUBB4	CFEOM3A	CDCBM1	CDCBM	FEOM3	beta-4	CFEOM3											
8331	MERTK	10461		RP38	MER	c-mer	c-Eyk	MERTK	Tyro12													
8351	HOXB13	10481		PSGD	HOXB13																	
8407	AGR2	10551		AGR2	HPC8	AG-2	XAG-2	PDIA17	HEL-S-116	HAG-2	GOB-4	AG2										
8450	SLCO1B1	10599		OATP-C	OATP1B1	LST-1	SLCO1B1	LST1	OATPC	HBLRR	OATP2	SLC21A6										
8552	STAG3	10734		STAG3																		
8553	STAG2	10735		SA2	SCC3B	bA517O1.1	SA-2	STAG2														
8614	HSPH1	10808		HSP105	NY-CO-25	HSP105B	HSPH1	HSP105A														
8878	PTPRT	11122		PTPRT	RPTPrho																	
8908	PTP4A3	11156		PRL-R	PRL-3	PRL3	PTP4A3															
8950	CHEK2	11200		PP1425	CHEK2	HuCds1	CDS1	CHK2	LFS2	RAD53	hCds1											
9171	DKK1	22943		DKK-1	DKK1	SK																
9189	NT5C2	22978	"This gene, when mutated to be over-active, has been linked to chemotherapy resistance in relapsed T-cell Acute Lymphoblastic Leukemia."	SPG65	SPG45	cN-II	NT5C2	PNT5	GMP	NT5B												
9533	DICER1	23405		Dicer	DCR1	RMSE2	K12H4.8-LIKE	Dicer1e	DICER1	HERNA	MNG1											
9538	SIRT1	23411		SIRT1	SIR2alpha	SIR2L1	SIR2															
9588	BRD4	23476		MCAP	HUNKI	HUNK1	BRD4	CAP														
9705	CBLC	23624		CBL-3	CBL-SL	RNF57	CBLC															
9722	PPP1R15A	23645		PPP1R15A	GADD34																	
9935	POT1	25913		HPOT1	CMM10	POT1	GLM9															
9952	WWTR1	25937		WWTR1	TAZ																	
10024	SETBP1	26040		MRD29	SETBP1	SEB																
10573	PDCD4	27250		PDCD4	H731																	
11261	MAGEH1	28986		1-Apr	MAGEH	MAGEH1	1-Apr															
11322	TBK1	29110		TBK1	T2K	NAK	FTDALS4															
11335	CD274	29126	"CD274, also commonly referred to as PDL1, is a ligand that binds with the receptor PD1, commonly found on T-cells, and acts to block T-cell activation. PD1 expression has been observed in a variety of cancers including melanoma and non-small cell lung cancer. The interaction of PD1/PDL1 is hypothesized to be a possible mechanism for the tumor to escape immune response. A number of checkpoint blockade inhibitors including pembrolizumab and nivolumab have been developed that target the PD1/PDL1 interaction in order to allow T-cells to recognize tumor cells without being deactivated by the tumor."	CD274	PDL1	PDCD1LG1	B7H1	PDCD1L1	PD-L1	B7-H												
11587	FOXP3	50943		JM2	IPEX	PIDX	FOXP3	XPID	DIETER	AIID												
11761	CRBN	51185		MRT2	CRBN	MRT2A																
11932	DDX41	51428		DDX41	MPLPF	ABS																
12112	CDK12	51755		CRK7	CRKR	CDK12	CRKRS															
12121	RSF1	51773		RSF1	p325	HBXAP	RSF-1	XAP8														
12146	LRP1B	53353	LRP1B is a putative tumor suppressor and a member of the low-density lipoprotein (LDL) receptor family. The LDL receptor family have roles related to clearance of extracellular ligand and are proposed to be involved in extracellular signal transduction. silencing and down-expression of LRP1B as been observed in renal cell carcinoma and thyroid cancer. Further Deletion of LRP1B has been associated with chemotherapy resistance in high-grade serous cancers.	LRP-DIT	LRPDIT	LRP1B	LRP-1B															
12271	ERRFI1	54206		MIG6	RALT	GENE-33	MIG-6	ERRFI1														
12367	ROBO4	54538		ROBO4	MRB	ECSM4																
12422	UGT1A1	54658		UDPGT 1-1	HUG-BR1	UGT1A1	UGT1A	UGT1	GNT1	UDPGT	BILIQTL1											
12555	BCOR	54880		ANOP2	MAA2	MCOPS2	BCOR															
12903	FBXW7	55294		FBW6	FBXW7	AGO	FBXO30	SEL10	hAgo	FBX30	hCdc4	SEL-10	FBXW6	FBW7	CDC4							
13005	DDX43	55510		HAGE	CT13	DDX43																
13276	PBK	55872		CT84	HEL164	PBK	SPK	Nori-3	TOPK													
13948	KIAA1524	57650		KIAA1524	p90	CIP2A																
14089	KMT2C	58508		KMT2C	MLL3	HALR																
14842	BIRC7	79444	"BIRC7 encodes the protein Livin which is a member of the inhibitor of apoptosis protein (IAP) family. Livin consists of a single baculoviral IAP repeat domain (BIR) and a RING domian at the C-terminus. The protein inhibits apoptosis by inhibiting proteolytic activation of capsases. Overexpression of Livin has been observed in a variety of cancers including lung, colon, and prostate compared to most normal adult tissues and has been proposed as a putative therapeutic target."	ML-IAP	KIAP	BIRC7	MLIAP	LIVIN	RNF50													
15013	PALB2	79728		PALB2	PNCA3	FANCN																
16394	HAVCR2	84868		TIM3	KIM-3	Tim-3	HAVcr-2	CD366	HAVCR2	TIMD-3	TIMD3											
16656	ABCC10	89845		SIMRP7	ABCC10	EST182763	MRP7															
16872	SLFN11	91607		SLFN11	SLFN8/9																	
17016	NAPRT	93100		NAPRT1	NAPRT	PP3856																
20480	RICTOR	253260		RICTOR	hAVO3	AVO3	PIA															
24938	MIR218-1	407000		MIR218-1	mir-218-1	MIRN218-1																
26599	ECSCR	641700		ECSCR	ECSM2	ARIA																
32083	KLLN	100144748		KILLIN	KLLN	CWS4																
34321	DUX4	100288687		DUX4L	DUX4																	
