,nctId,phase,recruitment,therapies,title,Drug_id
2,NCT02551185,Phase I,Recruiting,"[{'id': 3311, 'therapyName': 'Citarinostat'}]",ACY 241 in Combination With Paclitaxel in Patients With Advanced Solid Tumors,8030
3,NCT02400242,Phase I,"Active, not recruiting","[{'id': 3311, 'therapyName': 'Citarinostat'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 1622, 'therapyName': 'Pomalidomide'}]",Study of ACY-241 Alone and in Combination With Pomalidomide and Dexamethasone in Multiple Myeloma,8030
0,NCT01263782,Phase II,Completed,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1602, 'therapyName': 'Carboplatin + Pemetrexed'}, {'id': 701, 'therapyName': 'Cixutumumab'}]",BATTLE-FL: Front-Line Biomarker-Integrated Treatment Study in Non Small Cell Lung Cancer,6887
1,NCT00957853,Phase II,"Active, not recruiting","[{'id': 694, 'therapyName': 'Cetuximab'}, {'id': 701, 'therapyName': 'Cixutumumab'}]",Preoperative Treatment With Cetuximab and/or IMC-A12,6887
0,NCT02900664,Phase I,Recruiting,"[{'id': 5399, 'therapyName': 'PDR001 + EGF816'}, {'id': 5397, 'therapyName': 'PDR001 + CJM112'}, {'id': 5398, 'therapyName': 'PDR001 + Trametinib'}, {'id': 5395, 'therapyName': 'PDR001 + Canakinumab'}]","A Study of PDR001 in Combination With CJM112, EGF816, Ilaris (Canakinumab) or Mekinist (Trametinib)",8677
1,NCT03111992,Phase I,Recruiting,"[{'id': 5311, 'therapyName': 'PDR001 + LCL161'}, {'id': 5397, 'therapyName': 'PDR001 + CJM112'}, {'id': 2659, 'therapyName': 'PDR001'}]","Study of Single Agent CJM112, and PDR001 in Combination With LCL161 or CJM112 in Patients With Multiple Myeloma",8677
0,NCT02926768,Phase Ib/II,Recruiting,"[{'id': 5329, 'therapyName': 'CK-101'}]",Phase I/II Study of CK-101 in NSCLC Patients and Other Advanced Solid Tumors,8663
0,NCT01439750,Phase Ib/II,"Active, not recruiting","[{'id': 3394, 'therapyName': 'Bortezomib + Cladribine + Rituximab'}]","Bortezomib (VELCADE), Cladribine and Rituximab (VCR) in Mantle Cell Lymphoma (PSHCI 10-011)",235
1,NCT01515527,Phase II,Recruiting,"[{'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 650, 'therapyName': 'Decitabine'}]",Cladribine Plus Low Dose Cytarabine (LDAC) Alternating With Decitabine in Patients With Acute Myeloid Leukemia (AML) or High-Risk Myelodysplastic Syndrome (MDS),235
2,NCT02096055,Phase II,Recruiting,"[{'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1949, 'therapyName': 'SGI-110'}, {'id': 1022, 'therapyName': 'Idarubicin'}]",4-Arm Phase II Study of SGI-110 in Elderly Acute Myeloid Leukemia (AML),235
3,NCT02756572,Phase I,Recruiting,"[{'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 1650, 'therapyName': 'Cyclosporine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 5215, 'therapyName': 'mitoxantrone hydrochloride'}, {'id': 1166, 'therapyName': 'Fludarabine'}]",Early Allogeneic Hematopoietic Cell Transplantation in Treating Patients With Relapsed or Refractory High-Grade Myelodysplastic Syndrome or Acute Myeloid Leukemia,235
4,NCT02788201,Phase II,Recruiting,"[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 1154, 'therapyName': 'Dacarbazine'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 1022, 'therapyName': 'Idarubicin'}, {'id': 1133, 'therapyName': 'Mitomycin C'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1013, 'therapyName': 'epirubicin'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1137, 'therapyName': 'Bleomycin'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1441, 'therapyName': 'Ifosfamide'}, {'id': 2206, 'therapyName': 'Asparaginase'}, {'id': 781, 'therapyName': 'Ixabepilone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 2950, 'therapyName': 'Estramustine'}, {'id': 1941, 'therapyName': 'Floxuridine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 1811, 'therapyName': 'Carmustine'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 956, 'therapyName': 'Vismodegib'}, {'id': 953, 'therapyName': 'Vandetanib'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 4419, 'therapyName': 'Toremifine'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 2601, 'therapyName': 'Dactinomycin'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1456, 'therapyName': 'Tamoxifen'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 3035, 'therapyName': 'Chlorambucil'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 728, 'therapyName': 'Eribulin'}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 342, 'therapyName': 'Vemurafenib'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 738, 'therapyName': 'Exemestane'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 2635, 'therapyName': 'Vinblastine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 4305, 'therapyName': 'Teniposide'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1104, 'therapyName': 'Oxaliplatin'}, {'id': 4304, 'therapyName': 'Streptozocin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1231, 'therapyName': 'Bendamustine'}, {'id': 4303, 'therapyName': 'Mechlorethamine'}, {'id': 4302, 'therapyName': 'Mitotane'}]",Genomic Based Assignment of Therapy in Advanced Urothelial Carcinoma,235
5,NCT02551718,Phase I,Recruiting,"[{'id': 690, 'therapyName': 'Bosutinib'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 3160, 'therapyName': 'Nelarabine'}, {'id': 3159, 'therapyName': 'Bexarotene'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 998, 'therapyName': 'cabozantinib'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 877, 'therapyName': 'Ponatinib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 623, 'therapyName': 'Afatinib'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 890, 'therapyName': 'Regorafenib'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 2, 'therapyName': 'Trametinib'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 4, 'therapyName': 'Erlotinib'}, {'id': 3, 'therapyName': 'Dabrafenib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 789, 'therapyName': 'Ceritinib'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1571, 'therapyName': 'Cabazitaxel'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1327, 'therapyName': 'Pralatrexate'}]",High Throughput Drug Sensitivity Assay and Genomics- Guided Treatment of Patients With Relapsed or Refractory Acute Leukemia,235
6,NCT02728050,Phase Ib/II,Recruiting,"[{'id': 920, 'therapyName': 'Sorafenib'}, {'id': 4363, 'therapyName': 'Cladribine + Cytarabine + Filgrastim + Mitoxantrone'}]","Filgrastim, Cladribine, Cytarabine and Mitoxantrone With or Without Sorafenib Tosylate in Treating Patients With Newly-Diagnosed, High-Risk Acute Myeloid Leukemia or Myelodysplastic Syndrome",235
7,NCT02416908,Phase Ib/II,Recruiting,"[{'id': 1749, 'therapyName': 'Selinexor'}, {'id': 3178, 'therapyName': 'Cladribine + Cytarabine + Plerixafor'}]",Study of CLAG + Selinexor in Relapsed or Refractory Acute Myeloid Leukemia,235
0,NCT02211755,Phase I,Recruiting,"[{'id': 3063, 'therapyName': 'Bortezomib + Clofarabine'}]",Trial of the Combination of Bortezomib and Clofarabine in Adults With Relapsed Solid Tumors,621
1,NCT02083250,Phase I,Recruiting,"[{'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 3201, 'therapyName': 'Busulfan + Clofarabine + Fludarabine'}]",Fludarabine/Clofarabine/Busulfan Combined With SAHA in Acute Leukemia,621
2,NCT01701986,Phase Ib/II,Recruiting,"[{'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 3992, 'therapyName': 'Busulfan + Clofarabine + Gemcitabine'}]",Gemcitabine/Clofarabine/Busulfan and Allogeneic Transplantation for Aggressive Lymphomas,621
3,NCT01621477,Phase II,Terminated,"[{'id': 1756, 'therapyName': 'Plerixafor'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 1845, 'therapyName': 'Mycophenolate mofetil'}, {'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}, {'id': 1783, 'therapyName': 'Cyclophosphamide + Cytarabine'}]",T-Cell Replete Haploidentical Donor Hematopoietic Stem Cell Plus Natural Killer (NK) Cell Transplantation in Patients With Hematologic Malignancies Relapsed or Refractory Despite Previous Allogeneic Transplant,621
4,NCT00857389,Phase II,"Active, not recruiting","[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1843, 'therapyName': 'Tacrolimus'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}, {'id': 1639, 'therapyName': 'Methotrexate'}]",Thiotepa-Clofarabine-Busulfan With Allogeneic Stem Cell Transplant for High Risk Malignancies,621
5,NCT00990249,Phase II,Completed,"[{'id': 2469, 'therapyName': 'Busulfan + Clofarabine + Thymoglobulin'}]",Busulfan Plus Clofarabine Followed by Allogeneic Hematopoietic Stem Cell Transplantation,621
6,NCT02551718,Phase I,Recruiting,"[{'id': 690, 'therapyName': 'Bosutinib'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 3160, 'therapyName': 'Nelarabine'}, {'id': 3159, 'therapyName': 'Bexarotene'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 998, 'therapyName': 'cabozantinib'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 877, 'therapyName': 'Ponatinib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 623, 'therapyName': 'Afatinib'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 890, 'therapyName': 'Regorafenib'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 2, 'therapyName': 'Trametinib'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 4, 'therapyName': 'Erlotinib'}, {'id': 3, 'therapyName': 'Dabrafenib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 789, 'therapyName': 'Ceritinib'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1571, 'therapyName': 'Cabazitaxel'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1327, 'therapyName': 'Pralatrexate'}]",High Throughput Drug Sensitivity Assay and Genomics- Guided Treatment of Patients With Relapsed or Refractory Acute Leukemia,621
7,NCT01252667,Phase II,Recruiting,"[{'id': 2272, 'therapyName': 'Cyclosporine + Mycophenolate mofetil'}, {'id': 1746, 'therapyName': 'Clofarabine'}]",Clofarabine and Low-Dose Total-Body Irradiation in Treating Patients With Acute Myeloid Leukemia Undergoing Donor Peripheral Blood Stem Cell Transplant,621
8,NCT02085408,Phase III,Recruiting,"[{'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 1738, 'therapyName': 'Daunorubicin + Cytarabine'}]",Clofarabine or Daunorubicin Hydrochloride and Cytarabine Followed By Decitabine or Observation in Treating Older Patients With Newly Diagnosed Acute Myeloid Leukemia,621
9,NCT01794702,Phase Ib/II,"Active, not recruiting","[{'id': 1022, 'therapyName': 'Idarubicin'}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 650, 'therapyName': 'Decitabine'}]","Decitabine Followed by Clofarabine, Idarubicin, and Cytarabine in Acute Leukemia",621
10,NCT03136146,Phase II,Recruiting,"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 1090, 'therapyName': 'Ofatumumab'}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 1476, 'therapyName': 'Pegfilgrastim'}]","Study of Clofarabine, Etoposide, Cyclophosphamide [CEC], Liposomal Vincristine (VCR), Dexamethasone and Bortezomib in Relapsed/Refractory Acute Lymphoblastic Leukemia (ALL) and Lymphoblastic Lymphoma (LL)",621
11,NCT02788201,Phase II,Recruiting,"[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 1154, 'therapyName': 'Dacarbazine'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 1022, 'therapyName': 'Idarubicin'}, {'id': 1133, 'therapyName': 'Mitomycin C'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1013, 'therapyName': 'epirubicin'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1137, 'therapyName': 'Bleomycin'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1441, 'therapyName': 'Ifosfamide'}, {'id': 2206, 'therapyName': 'Asparaginase'}, {'id': 781, 'therapyName': 'Ixabepilone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 2950, 'therapyName': 'Estramustine'}, {'id': 1941, 'therapyName': 'Floxuridine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 1811, 'therapyName': 'Carmustine'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 956, 'therapyName': 'Vismodegib'}, {'id': 953, 'therapyName': 'Vandetanib'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 4419, 'therapyName': 'Toremifine'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 2601, 'therapyName': 'Dactinomycin'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1456, 'therapyName': 'Tamoxifen'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 3035, 'therapyName': 'Chlorambucil'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 728, 'therapyName': 'Eribulin'}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 342, 'therapyName': 'Vemurafenib'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 738, 'therapyName': 'Exemestane'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 2635, 'therapyName': 'Vinblastine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 4305, 'therapyName': 'Teniposide'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1104, 'therapyName': 'Oxaliplatin'}, {'id': 4304, 'therapyName': 'Streptozocin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1231, 'therapyName': 'Bendamustine'}, {'id': 4303, 'therapyName': 'Mechlorethamine'}, {'id': 4302, 'therapyName': 'Mitotane'}]",Genomic Based Assignment of Therapy in Advanced Urothelial Carcinoma,621
12,NCT03117751,Phase II,Recruiting,"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1022, 'therapyName': 'Idarubicin'}, {'id': 1876, 'therapyName': 'Blinatumomab '}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1638, 'therapyName': 'Pegaspargase'}]",Total Therapy XVII for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia and Lymphoma,621
13,NCT02518750,Phase II,Recruiting,"[{'id': 1604, 'therapyName': 'Panobinostat + Bortezomib + Dexamethasone'}, {'id': 1638, 'therapyName': 'Pegaspargase'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 3160, 'therapyName': 'Nelarabine'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 3217, 'therapyName': 'Cyclophosphamide + Etoposide'}, {'id': 3216, 'therapyName': 'Cytarabine + Methotrexate + Prednisone'}, {'id': 1746, 'therapyName': 'Clofarabine'}]",Re-Induction Therapy for Relapsed Pediatric T-Cell Acute Lymphoblastic Leukemia or Lymphoma,621
14,NCT02883049,Phase III,Suspended,"[{'id': 717, 'therapyName': 'Dasatinib'}, {'id': 4685, 'therapyName': 'Dexamethasone + Doxorubicin'}, {'id': 2188, 'therapyName': 'Prednisone'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1642, 'therapyName': 'Leucovorin'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1638, 'therapyName': 'Pegaspargase'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1746, 'therapyName': 'Clofarabine'}]",Combination Chemotherapy in Treating Young Patients With Newly Diagnosed High-Risk B Acute Lymphoblastic Leukemia and Ph-Like TKI Sensitive Mutations,621
15,NCT00908167,Phase I,Completed,"[{'id': 2374, 'therapyName': 'Clofarabine + Cytarabine + Sorafenib'}]",Sorafenib in Combination With Cytarabine and Clofarabine in Patients With Refractory or Relapsed Hematologic Malignancies,621
16,NCT00549848,Phase III,"Active, not recruiting","[{'id': 1781, 'therapyName': 'Vincristine + Pegaspargase + Daunorubicin'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1782, 'therapyName': 'Clofarabine + Etoposide + Cyclophosphamide'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}]",Total Therapy Study XVI for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia,621
17,NCT01885689,Phase II,Recruiting,"[{'id': 2236, 'therapyName': 'Clofarabine + Melphalan'}]",Clofarabine and Melphalan Before Donor Stem Cell Transplant in Treating Patients With Myelodysplasia or Acute Leukemia in Remission,621
0,NCT02189174,Phase Ib/II,Terminated,"[{'id': 1464, 'therapyName': 'CLR457'}]",Study of CLR457 Administered Orally in Adult Patients With Advanced Solid Malignancies,7269
0,NCT02346955,Phase I,Terminated,"[{'id': 4246, 'therapyName': 'CM-24'}, {'id': 4247, 'therapyName': 'CM-24 + Pembrolizumab'}]",Study of CM-24 (MK-6018) Alone and In Combination With Pembrolizumab (MK-3475) in Participants With Selected Advanced or Recurrent Malignancies (MK-6018-001),8387
0,NCT02387125,Phase I,Recruiting,"[{'id': 4318, 'therapyName': 'CMB305'}]","A Phase 1b Safety Study of CMB305 (Sequentially Administered LV305 and G305) in Patients With Locally Advanced, Relapsed, or Metastatic Cancer Expressing NY-ESO-1",8409
0,NCT02630186,Phase Ib/II,"Active, not recruiting","[{'id': 3575, 'therapyName': 'Atezolizumab + CO1686'}]",A Phase 1b/2 Study of Safety and Efficacy of Rociletinib in Combination With MPDL3280A in Patients With Advanced or Metastatic EGFR-mutant NSCLC,7122
1,NCT02186301,Phase II,Terminated,"[{'id': 1003, 'therapyName': 'CO1686'}, {'id': 4, 'therapyName': 'Erlotinib'}]",TIGER-1: Safety and Efficacy Study of Rociletinib (CO-1686) or Erlotinib in Patients With EGFR Mutant NSCLC Who Have Not Had Any Previous EGFR Directed Therapy,7122
2,NCT02705339,Phase II,Withdrawn,"[{'id': 1003, 'therapyName': 'CO1686'}]",Rociletinib Genomic Landscape in Non-small Cell Lung Cancer (NSCLC),7122
3,NCT01526928,Phase Ib/II,"Active, not recruiting","[{'id': 1003, 'therapyName': 'CO1686'}]","Study to Evaluate Safety, Pharmacokinetics, and Efficacy of CO-1686 in Previously Treated Mutant Epidermal Growth Factor Receptor (EGFR) in Non-Small Cell Lung Cancer (NSCLC) Patients",7122
4,NCT02147990,Phase II,Unknown status,"[{'id': 1003, 'therapyName': 'CO1686'}]",Open Label Safety and Efficacy Study of Rociletinib (CO-1686) in Patients With T790M Positive NSCLC Who Have Failed One Previous EGFR-Directed TKI,7122
5,NCT02547675,Phase I,No longer available,"[{'id': 1003, 'therapyName': 'CO1686'}]",Rociletinib (CO-1686) USA Expanded Access Program,7122
