,nctId,phase,recruitment,therapies,title,Therapies_id
32,NCT03057106,Phase II,Recruiting,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 2439, 'therapyName': 'Durvalumab + Tremelimumab'}, {'id': 854, 'therapyName': 'Pemetrexed'}]",Durvalumab and Tremelimumab ± Platinum-Based Chemotherapy in Patients With Metastatic Squamous or Non-Squamous NSCLC,700
33,NCT01285037,Phase I,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 694, 'therapyName': 'Cetuximab'}, {'id': 1030, 'therapyName': 'LY2801653'}]",A Study of LY2801653 in Advanced Cancer,700
34,NCT01820754,Phase II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 779, 'therapyName': 'Ipilimumab'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}]",Evaluation of Circulating T Cells and Tumor Infiltrating Lymphocytes (TILs) During / After Pre-Surgery Chemotherapy in Non-Small Cell Lung Cancer (NSCLC),700
35,NCT01336842,Phase I,Completed,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1080, 'therapyName': 'Panobinostat'}, {'id': 854, 'therapyName': 'Pemetrexed'}]",Study of Cisplatin and Pemetrexed in Combination With Panobinostat in Solid Tumors,700
36,NCT01836029,Phase II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 2000, 'therapyName': 'Fluorouracil + Cetuximab'}, {'id': 1092, 'therapyName': 'Carboplatin'}]",Chemotherapy Plus Cetuximab in Combination With VTX-2337 in Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,700
37,NCT02041533,Phase III,"Active, not recruiting","[{'id': 1312, 'therapyName': 'Nivolumab'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 755, 'therapyName': 'Gemcitabine'}]","An Open-Label, Randomized, Phase 3 Trial of Nivolumab Versus Investigator's Choice Chemotherapy as First-Line Therapy for Stage IV or Recurrent PD-L1+ Non-Small Cell Lung Cancer (CheckMate 026)",700
38,NCT02985658,Phase I,Available,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 954, 'therapyName': 'Veliparib'}, {'id': 1685, 'therapyName': 'Vinorelbine'}]",Expanded Access With ABT-888 (Veliparib) to Treat Metastatic Breast Cancer,700
39,NCT01810913,Phase II,"Active, not recruiting","[{'id': 720, 'therapyName': 'Docetaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1925, 'therapyName': 'Docetaxel + Cetuximab'}]","Radiation Therapy With Cisplatin, Docetaxel, or Cetuximab After Surgery in Treating Patients With Stage III-IV Squamous Cell Head and Neck Cancer",700
40,NCT01042522,Phase II,Recruiting,"[{'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1137, 'therapyName': 'Bleomycin'}]","Paclitaxel and Carboplatin or Bleomycin Sulfate, Etoposide Phosphate, and Cisplatin in Treating Patients With Advanced or Recurrent Sex Cord-Ovarian Stromal Tumors",700
41,NCT01737008,Phase I,Completed,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 714, 'therapyName': 'Dacomitinib'}]",Study of Dacomitinib With Radiotherapy With and Without Cisplatin in Patients With Squamous Cell Carcinoma of the Head and Neck,700
42,NCT02537223,Phase I,Recruiting,"[{'id': 691, 'therapyName': 'BYL719'}, {'id': 700, 'therapyName': 'Cisplatin'}]",Phase I Study of BYL719 in Combination With Cisplatin and Radiotherapy in Patients With Squamous Cell Head and Neck Cancer,700
43,NCT02264990,Phase III,"Active, not recruiting","[{'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 954, 'therapyName': 'Veliparib'}, {'id': 700, 'therapyName': 'Cisplatin'}]",Study Comparing Veliparib Plus Carboplatin and Paclitaxel Versus Investigator's Choice of Standard Chemotherapy in Subjects Receiving First Cytotoxic Chemotherapy for Metastatic or Advanced Non-Squamous Non-Small Cell Lung Cancer Who Are Current or Former Smokers,700
44,NCT01928160,Phase II,Withdrawn,"[{'id': 1290, 'therapyName': 'Erlotinib + Pemetrexed'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1291, 'therapyName': 'Erlotinib + Carboplatin'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1292, 'therapyName': 'Erlotinib + Cisplatin'}]",Pemetrexed Disodium and Carboplatin or Cisplatin With or Without Erlotinib Hydrochloride in Treating Patient With Stage IV Non-Small Cell Lung Cancer Resistant to First-Line Therapy With Erlotinib Hydrochloride or Gefitinib,700
45,NCT02551159,Phase III,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1356, 'therapyName': 'Durvalumab'}, {'id': 1914, 'therapyName': 'Cetuximab + Carboplatin + Fluorouracil'}, {'id': 1652, 'therapyName': 'Tremelimumab'}]",Phase III Open Label First Line Therapy Study of MEDI 4736 With or Without Tremelimumab Versus Standard of Care (SOC) in SCCHN,700
46,NCT02227940,Phase I,Recruiting,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 619, 'therapyName': 'Abraxane'}, {'id': 2554, 'therapyName': 'Ceritinib + Gemcitabine'}]",Ceritinib and Combination Chemotherapy in Treating Patients With Advanced Solid Tumors or Locally Advanced or Metastatic Pancreatic Cancer,700
47,NCT02788201,Phase II,Recruiting,"[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 770, 'therapyName': 'Imatinib'}, {'id': 1154, 'therapyName': 'Dacarbazine'}, {'id': 640, 'therapyName': 'Arsenic trioxide'}, {'id': 1022, 'therapyName': 'Idarubicin'}, {'id': 1133, 'therapyName': 'Mitomycin C'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 1767, 'therapyName': 'Cladribine'}, {'id': 1013, 'therapyName': 'epirubicin'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1137, 'therapyName': 'Bleomycin'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 751, 'therapyName': 'Gefitinib'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 2075, 'therapyName': 'Lomustine'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 930, 'therapyName': 'Sunitinib'}, {'id': 1441, 'therapyName': 'Ifosfamide'}, {'id': 2206, 'therapyName': 'Asparaginase'}, {'id': 781, 'therapyName': 'Ixabepilone'}, {'id': 1805, 'therapyName': 'Abiraterone'}, {'id': 651, 'therapyName': 'Azacitidine'}, {'id': 907, 'therapyName': 'Ruxolitinib'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 649, 'therapyName': 'Axitinib'}, {'id': 2950, 'therapyName': 'Estramustine'}, {'id': 1941, 'therapyName': 'Floxuridine'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 1811, 'therapyName': 'Carmustine'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 829, 'therapyName': 'Nilotinib'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 956, 'therapyName': 'Vismodegib'}, {'id': 953, 'therapyName': 'Vandetanib'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 4419, 'therapyName': 'Toremifine'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 2601, 'therapyName': 'Dactinomycin'}, {'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 1075, 'therapyName': 'romidepsin'}, {'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1456, 'therapyName': 'Tamoxifen'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 3035, 'therapyName': 'Chlorambucil'}, {'id': 3161, 'therapyName': 'Pentostatin'}, {'id': 728, 'therapyName': 'Eribulin'}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 342, 'therapyName': 'Vemurafenib'}, {'id': 1750, 'therapyName': 'Hydroxyurea'}, {'id': 738, 'therapyName': 'Exemestane'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1740, 'therapyName': 'Mitoxantrone'}, {'id': 2635, 'therapyName': 'Vinblastine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 1746, 'therapyName': 'Clofarabine'}, {'id': 4305, 'therapyName': 'Teniposide'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 848, 'therapyName': 'Pazopanib'}, {'id': 1104, 'therapyName': 'Oxaliplatin'}, {'id': 4304, 'therapyName': 'Streptozocin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1231, 'therapyName': 'Bendamustine'}, {'id': 4303, 'therapyName': 'Mechlorethamine'}, {'id': 4302, 'therapyName': 'Mitotane'}]",Genomic Based Assignment of Therapy in Advanced Urothelial Carcinoma,700
48,NCT02365766,Phase Ib/II,Recruiting,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1447, 'therapyName': 'Pembrolizumab'}, {'id': 755, 'therapyName': 'Gemcitabine'}]",Study of Neoadjuvant Pembrolizumab in Combination With Gemcitabine Based Therapy in Cis-eligible or -Ineligible Subjects With Urothelial Cancer,700
49,NCT02349958,Phase II,Recruiting,"[{'id': 1133, 'therapyName': 'Mitomycin C'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1009, 'therapyName': 'Doxorubicin'}]",Clinical Trial of Intraperitoneal Hyperthermic Chemotherapy,700
50,NCT02578680,Phase III,"Active, not recruiting","[{'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1447, 'therapyName': 'Pembrolizumab'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 700, 'therapyName': 'Cisplatin'}]",Study of Platinum+Pemetrexed Chemotherapy With or Without Pembrolizumab (MK-3475) in Participants With First Line Metastatic Non-squamous Non-small Cell Lung Cancer (MK-3475-189/KEYNOTE-189),700
51,NCT02358031,Phase III,"Active, not recruiting","[{'id': 694, 'therapyName': 'Cetuximab'}, {'id': 1447, 'therapyName': 'Pembrolizumab'}, {'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 700, 'therapyName': 'Cisplatin'}]",A Study of Pembrolizumab (MK-3475) for First Line Treatment of Recurrent or Metastatic Squamous Cell Cancer of the Head and Neck (MK-3475-048/KEYNOTE-048),700
52,NCT03126916,Phase III,Not yet recruiting,"[{'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 1873, 'therapyName': 'Sargramostim'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1206, 'therapyName': 'Busulfan'}, {'id': 5595, 'therapyName': 'Isotretinoin'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2563, 'therapyName': 'Thiotepa'}, {'id': 706, 'therapyName': 'Crizotinib'}, {'id': 5153, 'therapyName': 'dexrazoxane'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1167, 'therapyName': 'Aldesleukin'}, {'id': 942, 'therapyName': 'Topotecan'}, {'id': 2286, 'therapyName': 'Dinutuximab  '}]",Iobenguane I-131 or Crizotinib and Standard Therapy in Treating Younger Patients With Newly-Diagnosed High-Risk Neuroblastoma or Ganglioneuroblastoma,700
53,NCT02142738,Phase III,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1447, 'therapyName': 'Pembrolizumab'}, {'id': 854, 'therapyName': 'Pemetrexed'}]",Study of Pembrolizumab (MK-3475) Compared to Platinum-Based Chemotherapies in Participants With Metastatic Non-Small Cell Lung Cancer (MK-3475-024/KEYNOTE-024),700
54,NCT01409174,Phase Ib/II,Terminated,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 779, 'therapyName': 'Ipilimumab'}, {'id': 1167, 'therapyName': 'Aldesleukin'}, {'id': 1141, 'therapyName': 'Temozolomide'}, {'id': 1299, 'therapyName': 'Interferon alfa-2b '}]",IPI Biochemotherapy for Chemonaive Patients With Metastatic Melanoma,700
55,NCT01450761,Phase III,Completed,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 779, 'therapyName': 'Ipilimumab'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1136, 'therapyName': 'Etoposide'}]",Trial in Extensive-Disease Small Cell Lung Cancer (ED-SCLC) Subjects Comparing Ipilimumab Plus Etoposide and Platinum Therapy to Etoposide and Platinum Therapy Alone,700
56,NCT01711658,Phase II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 2475, 'therapyName': 'Lapatinib + Cisplatin'}]",TRYHARD: Radiation Therapy Plus Cisplatin With or Without Lapatinib in Treating Patients With Head and Neck Cancer,700
57,NCT01918306,Phase Ib/II,Terminated,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1554, 'therapyName': 'GDC-0941 + Cisplatin'}]",GDC-0941 and Cisplatin in Treating Patients With Androgen Receptor-Negative Triple Negative Metastatic Breast Cancer,700
58,NCT02508246,Phase I,Recruiting,"[{'id': 822, 'therapyName': 'MK-1775'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}]","AZD1775, Docetaxel, and Cisplatin Before Surgery in Treating Patients With Borderline Resectable Stage III-IVB Squamous Cell Carcinoma of the Head and Neck",700
59,NCT03004287,Phase II,Recruiting,"[{'id': 1207, 'therapyName': 'Melphalan'}, {'id': 1624, 'therapyName': 'Carfilzomib'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1164, 'therapyName': 'lenalidomide'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 1630, 'therapyName': 'Daratumumab'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1475, 'therapyName': 'Thalidomide'}]",2015-12: A Study Exploring the Use of Early and Late Consolidation/Maintenance Therapy,700
60,NCT00989651,Phase I,"Active, not recruiting","[{'id': 3047, 'therapyName': 'Bevacizumab + Veliparib'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}]","Carboplatin, Paclitaxel, Bevacizumab, and ABT-888 in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer",700
61,NCT01454102,Phase I,"Active, not recruiting","[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 779, 'therapyName': 'Ipilimumab'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 4, 'therapyName': 'Erlotinib'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1312, 'therapyName': 'Nivolumab'}]","Study of Nivolumab (BMS-936558) in Combination With Gemcitabine/Cisplatin, Pemetrexed/Cisplatin, Carboplatin/Paclitaxel, Bevacizumab Maintenance, Erlotinib, Ipilimumab or as Monotherapy in Subjects With Stage IIIB/IV Non-small Cell Lung Cancer (NSCLC) (CheckMate 012)",700
62,NCT01898494,Phase II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1092, 'therapyName': 'Carboplatin'}]",Transoral Surgery Followed By Low-Dose or Standard-Dose Radiation Therapy With or Without Chemotherapy in Treating Patients With HPV Positive Stage III-IVA Oropharyngeal Cancer,700
63,NCT02281955,Phase II,Recruiting,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 694, 'therapyName': 'Cetuximab'}]",De-intensification of Radiation and Chemotherapy for Low-Risk HPV-related Oropharyngeal SCC,700
64,NCT02532192,Phase I,Withdrawn,"[{'id': 897, 'therapyName': 'Rituximab'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1689, 'therapyName': 'Fluconazole'}, {'id': 1078, 'therapyName': 'Belinostat'}]","A Phase Ib Study of Belinostat With RDHAP Chemotherapy (Dexamethasone, Cytarabine, Cisplatinum) in Adults With Relapsed or Refractory Diffuse Large B-cell Lymphoma",700
65,NCT02952586,Phase III,Recruiting,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 5052, 'therapyName': 'Avelumab + Cisplatin'}]",Study To Compare Avelumab In Combination With Standard of Care Chemoradiotherapy (SoC CRT) Versus SoC CRT for Definitive Treatment In Patients With Locally Advanced Squamous Cell Carcinoma Of The Head And Neck (JAVELIN HEAD AND NECK 100),700
66,NCT02576574,Phase III,Recruiting,"[{'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 3144, 'therapyName': 'Avelumab'}, {'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 1092, 'therapyName': 'Carboplatin'}]",Avelumab in First-line Non-Small Cell Lung Cancer (JAVELIN Lung 100),700
67,NCT02314117,Phase III,"Active, not recruiting","[{'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 886, 'therapyName': 'Ramucirumab'}]",A Study of Ramucirumab (LY3009806) in Combination With Capecitabine and Cisplatin in Participants With Stomach Cancer,700
68,NCT02489903,Phase II,Recruiting,"[{'id': 1136, 'therapyName': 'Etoposide'}, {'id': 3680, 'therapyName': 'RRx-001'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 619, 'therapyName': 'Abraxane'}]","RRx-001 in Small, Non-small Cell Lung Cancer, and Neuroendocrine Tumors Prior to Re-administration of Platinum Based Doublet Regimens",700
69,NCT02402920,Phase I,Recruiting,"[{'id': 2604, 'therapyName': 'Carboplatin + Etoposide + Pembrolizumab'}, {'id': 700, 'therapyName': 'Cisplatin'}]",Phase I Trial of MK-3475 and Concurrent Chemo/Radiation for the Elimination of Small Cell Lung Cancer,700
70,NCT01218048,Phase II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 694, 'therapyName': 'Cetuximab'}]",ERBITUX; Followed by Adjuvant Treatment With Chemoradiation and ERBITUX; for Locally Advanced Head and Neck Squamous Cell Carcinoma,700
71,NCT02107235,Phase I,Completed,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1046, 'therapyName': 'rigosertib'}]",Platinum-based Chemoradiotherapy and Rigosertib in Head and Neck Cancer,700
72,NCT01927744,Phase II,Recruiting,"[{'id': 2474, 'therapyName': 'Erlotinib + Docetaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 1092, 'therapyName': 'Carboplatin'}]","Study of Chemotherapy With Cisplatin/CarboplatinAstellas Pharma Inc, OSI Pharmaceuticals, Kadoorie Foundation, and Docetaxel With or Without Erlotinib in Patients With Head and Neck Squamous Cell Carcinomas Amenable for Surgical Resection",700
73,NCT02254278,Phase II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}]",Reduced-Dose Intensity-Modulated Radiation Therapy With or Without Cisplatin in Treating Patients With Advanced Oropharyngeal Cancer,700
74,NCT01859741,Phase Ib/II,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 2547, 'therapyName': 'Tarextumab'}]",A Phase 1b/2 Study of OMP-59R5 in Combination With Etoposide and Platinum Therapy in Subjects With Untreated Extensive Stage Small Cell Lung Cancer (PINNACLE),700
75,NCT01014598,Phase I,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}]",Cisplatin in Treating Patients With Lung Cancer,700
0,NCT01453205,Phase II,Completed,"[{'id': 2354, 'therapyName': 'Cisplatin + Cytarabine + Dexamethasone'}, {'id': 2352, 'therapyName': 'Carboplatin + Etoposide + Ifosfamide '}, {'id': 897, 'therapyName': 'Rituximab'}, {'id': 2407, 'therapyName': 'MEDI-551'}]","A Phase 2, Multicenter, Randomized, Open-label Study of MEDI-551 in Adults With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",2354
0,NCT02436707,Phase II,Recruiting,"[{'id': 768, 'therapyName': 'Ibrutinib'}, {'id': 3391, 'therapyName': 'Cisplatin + Dexamethasone + Gemcitabine + Rituximab'}]",Novel Combination Therapy in the Treatment of Relapsed and Refractory Aggressive B-Cell Lymphoma,3391
0,NCT01588431,Phase II,"Active, not recruiting","[{'id': 1987, 'therapyName': 'Cisplatin + Docetaxel + Cetuximab'}, {'id': 667, 'therapyName': 'Bevacizumab'}]",Bevacizumab/Ph 2 for Locally Advanced Head and Neck Cancer,1987
1,NCT01437449,Phase II,"Active, not recruiting","[{'id': 1987, 'therapyName': 'Cisplatin + Docetaxel + Cetuximab'}, {'id': 1092, 'therapyName': 'Carboplatin'}]","Weekly Docetaxel, Cisplatin, and Cetuximab (TPC) in Palliative Treatment of Patients With Squamous Cell Carcinoma of the Head and Neck (SCCHN)",1987
0,NCT01467115,Phase II,Completed,"[{'id': 1642, 'therapyName': 'Leucovorin'}, {'id': 1930, 'therapyName': 'Cisplatin + Docetaxel + Fluorouracil'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 694, 'therapyName': 'Cetuximab'}]",INDUCTION CHEMOTHERAPY FOLLOWED BY CETUXIMAB AND RADIATION THERAPY FOR HEAD AND NECK CANCER,1930
1,NCT01914900,Phase II,Unknown status,"[{'id': 1930, 'therapyName': 'Cisplatin + Docetaxel + Fluorouracil'}]",Preoperative TPF Chemotherapy in a Population of Molecularly Selected Locally Advanced Resectable Oral Cavity Squamous Cell Cancer,1930
2,NCT03288350,Phase II,Not yet recruiting,"[{'id': 1930, 'therapyName': 'Cisplatin + Docetaxel + Fluorouracil'}, {'id': 3144, 'therapyName': 'Avelumab'}]",mDCF + Avelumab in Resectable Esophago-gastric Adenocarcinoma (EGA),1930
0,NCT02225405,Phase I,Recruiting,"[{'id': 2372, 'therapyName': 'Cisplatin + Docetaxel + Nintedanib'}]","Induction Study of Cisplatin, Docetaxel, and Nintedanib Stage IB-IIIA Non-Small Cell Lung Cancer (NCLC)",2372
0,NCT01025089,Phase II,"Active, not recruiting","[{'id': 694, 'therapyName': 'Cetuximab'}, {'id': 1927, 'therapyName': 'Cisplatin + Doxorubicin + Cyclophosphamide'}]",Chemotherapy Plus Cetuximab Followed by Surgical Resection in Patients With Locally Advanced or Recurrent Thymoma or Thymic Carcinoma,1927
0,NCT00734877,Phase III,Recruiting,"[{'id': 1851, 'therapyName': 'Cisplatin + Doxorubicin + Cyclophosphamide + Etoposide'}, {'id': 1852, 'therapyName': 'Melphalan + Bortezomib + Thalidomide + Dexamethasone'}]","UARK 2008-01, Total Therapy 4 - A Phase III Trial for Low Risk Myeloma",1851
0,NCT02899195,Phase II,Recruiting,"[{'id': 5630, 'therapyName': 'Cisplatin + Durvalumab + Pemetrexed'}, {'id': 1356, 'therapyName': 'Durvalumab'}]",Phase II MEDI4736 in Combination With Chemotherapy for First-Line Treatment of Unresectable Mesothelioma (PrE0505),5630
0,NCT02537418,Phase I,"Active, not recruiting","[{'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}, {'id': 1356, 'therapyName': 'Durvalumab'}, {'id': 1652, 'therapyName': 'Tremelimumab'}]",Durvalumab With or Without Tremelimumab in Advanced Incurable Solid Malignancies Receiving Standard Chemotherapy Regimens,2585
1,NCT03066778,Phase III,Recruiting,"[{'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}, {'id': 5145, 'therapyName': 'Cisplatin + Etoposide + Pembrolizumab'}, {'id': 2604, 'therapyName': 'Carboplatin + Etoposide + Pembrolizumab'}, {'id': 1791, 'therapyName': 'Carboplatin + Etoposide'}]",A Study of Pembrolizumab (MK-3475) in Combination With Etoposide/Platinum (Cisplatin or Carboplatin) for Participants With Extensive Stage Small Cell Lung Cancer (MK-3475-604/KEYNOTE-604),2585
2,NCT02768558,Phase III,Recruiting,"[{'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}, {'id': 4922, 'therapyName': 'Cisplatin + Etoposide + Nivolumab'}]",Cisplatin and Etoposide Plus Radiation Followed By Nivolumab/Placebo For Locally Advanced NSCLC,2585
3,NCT01642251,Phase Ib/II,"Active, not recruiting","[{'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}, {'id': 954, 'therapyName': 'Veliparib'}]",Cisplatin and Etoposide With or Without Veliparib in Treating Patients With Extensive Stage Small Cell Lung Cancer or Metastatic Large Cell Neuroendocrine Non-small Cell Lung Cancer,2585
4,NCT01857934,Phase II,Recruiting,"[{'id': 1009, 'therapyName': 'Doxorubicin'}, {'id': 1873, 'therapyName': 'Sargramostim'}, {'id': 1167, 'therapyName': 'Aldesleukin'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1632, 'therapyName': 'Filgrastim'}, {'id': 1877, 'therapyName': 'Tretinoin  '}, {'id': 2627, 'therapyName': 'Levetiracetam'}, {'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}, {'id': 2458, 'therapyName': 'Hu14.18K322A'}, {'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 2590, 'therapyName': 'Cyclophosphamide + Topotecan'}]",Therapy for Children With Advanced Stage Neuroblastoma,2585
5,NCT01175356,Phase I,Completed,"[{'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 2590, 'therapyName': 'Cyclophosphamide + Topotecan'}, {'id': 1425, 'therapyName': '131I-MIBG'}, {'id': 2353, 'therapyName': 'Cyclophosphamide + Doxorubicin + Vincristine '}, {'id': 2585, 'therapyName': 'Cisplatin + Etoposide'}]","Induction Therapy Including 131 I-MIBG and Chemotherapy in Treating Patients With Newly Diagnosed High-Risk Neuroblastoma Undergoing Stem Cell Transplant, Radiation Therapy, and Maintenance Therapy With Isotretinoin",2585
