,nctId,phase,recruitment,therapies,title,Indications_id
261,NCT03248479,Phase I,Not yet recruiting,"[{'id': 6133, 'therapyName': 'Azacitidine + Hu5F9-G4'}, {'id': 4947, 'therapyName': 'Hu5F9-G4'}]",Hu5F9-G4 Monotherapy or Hu5F9-G4 in Combination With Azacitidine in Patients With Hematological Malignancies,9119
262,NCT03263936,Phase I,Recruiting,"[{'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 650, 'therapyName': 'Decitabine'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 1632, 'therapyName': 'Filgrastim'}]",Epigenetic Reprogramming in Relapse/Refractory AML,9119
263,NCT03267186,Phase II,Recruiting,"[{'id': 768, 'therapyName': 'Ibrutinib'}]",Ibrutinib in Preventing Acute Leukemia in Patients After Reduced-Intensity Conditioning and Stem Cell Transplant,9119
264,NCT03286114,Phase I,Not yet recruiting,"[{'id': 1447, 'therapyName': 'Pembrolizumab'}]",Augmentation of the Graft vs. Leukemia Effect Via Checkpoint Blockade With Pembrolizumab,9119
265,NCT03286530,Phase II,Not yet recruiting,"[{'id': 907, 'therapyName': 'Ruxolitinib'}]",Ruxolitinib + Allogeneic Stem Cell Transplantation in AML,9119
266,NCT03298984,Phase I,Not yet recruiting,"[{'id': 6300, 'therapyName': 'Alvocidib + Cytarabine + Daunorubicin'}]",Ph I Study of Alvocidib and Cytarabine/Duanorubicin (7+3) in Patients With Newly Diagnosed Acute Myeloid Leukemia (AML).,9119
0,NCT01409161,Phase II,Recruiting,"[{'id': 3685, 'therapyName': 'Arsenic trioxide + Gemtuzumab ozogamicin + Tretinoin'}]","Acute Promyelocytic Leukemia (APL) Treated With ATRA, Arsenic Trioxide and Gemtuzumab Ozogamicin",60318
1,NCT01869803,Phase I,Suspended,"[{'id': 756, 'therapyName': 'Gemtuzumab ozogamicin'}]",Gemtuzumab Ozogamicin in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia or Acute Promyelocytic Leukemia,60318
2,NCT02339740,Phase III,Recruiting,"[{'id': 3686, 'therapyName': 'Cytarabine + Dexamethasone + Idarubicin + Mitoxantrone'}, {'id': 3685, 'therapyName': 'Arsenic trioxide + Gemtuzumab ozogamicin + Tretinoin'}]",Tretinoin and Arsenic Trioxide in Treating Patients With Untreated Acute Promyelocytic Leukemia,60318
0,NCT02112916,Phase III,Recruiting,"[{'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1631, 'therapyName': 'Vincristine'}, {'id': 1441, 'therapyName': 'Ifosfamide'}, {'id': 1638, 'therapyName': 'Pegaspargase'}, {'id': 1639, 'therapyName': 'Methotrexate'}, {'id': 712, 'therapyName': 'Cytarabine'}, {'id': 1640, 'therapyName': 'Mercaptopurine'}, {'id': 1641, 'therapyName': 'Thioguanine'}, {'id': 1642, 'therapyName': 'Leucovorin'}, {'id': 1006, 'therapyName': 'Daunorubicin'}, {'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 688, 'therapyName': 'Bortezomib'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1009, 'therapyName': 'Doxorubicin'}]",Combination Chemotherapy With or Without Bortezomib in Treating Younger Patients With Newly Diagnosed T-Cell Acute Lymphoblastic Leukemia or Stage II-IV T-Cell Lymphoblastic Lymphoma,5603
1,NCT02518113,Phase Ib/II,Recruiting,"[{'id': 1390, 'therapyName': 'Dexamethasone'}, {'id': 2958, 'therapyName': 'LY3039478'}]",A Study of LY3039478 in Combination With Dexamethasone in Participants With T-ALL/T-LBL,5603
0,NCT02831179,Phase I,Withdrawn,"[{'id': 4463, 'therapyName': 'Capecitabine + Veliparib + Temozolomide'}]","Veliparib, Capecitabine, and Temozolomide in Patients With Advanced, Metastatic, and Recurrent Neuroendocrine Tumor",3950
0,NCT01396408,Phase II,"Active, not recruiting","[{'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 930, 'therapyName': 'Sunitinib'}]",A Phase II Study of Sunitinib or Temsirolimus in Patients With Advanced Rare Tumours,660
1,NCT02673333,Phase II,Recruiting,"[{'id': 1447, 'therapyName': 'Pembrolizumab'}]",Single Agent Pembrolizumab in Subjects With Advanced Adrenocortical Carcinoma,660
2,NCT02834013,Phase 0,Recruiting,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",Nivolumab and Ipilimumab in Treating Patients With Rare Tumors,660
3,NCT02867592,Phase II,Recruiting,"[{'id': 998, 'therapyName': 'cabozantinib'}]","Cabozantinib-S-Malate in Treating Younger Patients With Recurrent, Refractory, or Newly Diagnosed Sarcomas, Wilms Tumor, or Other Rare Tumors",660
0,NCT02834013,Phase 0,Recruiting,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",Nivolumab and Ipilimumab in Treating Patients With Rare Tumors,50892
1,NCT03008369,Phase II,Recruiting,"[{'id': 792, 'therapyName': 'Lenvatinib'}]",Lenvatinib in Treating Patients With Metastatic or Advanced Pheochromocytoma or Paraganglioma That Cannot Be Removed by Surgery,50892
2,NCT03165721,Phase II,Recruiting,"[{'id': 1949, 'therapyName': 'SGI-110'}]","A Phase II Trial of the DNA Methyl Transferase Inhibitor, Guadecitabine (SGI-110), in Children and Adults With Wild Type GIST,Pheochromocytoma and Paraganglioma Associated With Succinate Dehydrogenase Deficiency and HLRCC-associated Kidney Cancer",50892
0,NCT00843037,Phase II,Completed,"[{'id': 930, 'therapyName': 'Sunitinib'}]",Study Of Sunitinib In Patients With Recurrent Paraganglioma/Pheochromocytoma,5719
1,NCT01396408,Phase II,"Active, not recruiting","[{'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 930, 'therapyName': 'Sunitinib'}]",A Phase II Study of Sunitinib or Temsirolimus in Patients With Advanced Rare Tumours,5719
2,NCT01967576,Phase II,"Active, not recruiting","[{'id': 649, 'therapyName': 'Axitinib'}]","Phase II Study of Axitinib (AG-013736) With Evaluation of the VEGF-pathway in Metastatic, Recurrent or Primary Unresectable Pheochromocytoma/Paraganglioma",5719
3,NCT02302833,Phase I,Recruiting,"[{'id': 998, 'therapyName': 'cabozantinib'}]",Cabozantinib for Malignant Pheochromocytoma,5719
4,NCT02721732,Phase II,Recruiting,"[{'id': 1447, 'therapyName': 'Pembrolizumab'}]",Study for the Evaluation of Efficacy of Pembrolizumab (MK-3475) in Patients With Rare Tumors,5719
5,NCT02831179,Phase I,Withdrawn,"[{'id': 4463, 'therapyName': 'Capecitabine + Veliparib + Temozolomide'}]","Veliparib, Capecitabine, and Temozolomide in Patients With Advanced, Metastatic, and Recurrent Neuroendocrine Tumor",5719
6,NCT02936323,,Recruiting,"[{'id': 5819, 'therapyName': 'PEN-221'}]",PEN-221 in Somatostatin Receptor 2 Expressing Advanced Cancers Including Neuroendocrine and Small Cell Lung Cancers,5719
0,NCT03274258,Phase II,Not yet recruiting,"[{'id': 1627, 'therapyName': 'Nivolumab + Ipilimumab'}]",Nivolumab Plus Ipilimumab in Patients With Renal Medullary Carcinoma,7379
0,NCT01898715,Phase I,Recruiting,"[{'id': 4296, 'therapyName': 'ATR-101'}]",Phase 1 Study of ATR-101 in Subjects With Advanced Adrenocortical Carcinoma,3948
1,NCT02720484,Phase II,"Active, not recruiting","[{'id': 1312, 'therapyName': 'Nivolumab'}]",Nivolumab in Treating Patients With Metastatic Adrenocortical Cancer,3948
2,NCT02721732,Phase II,Recruiting,"[{'id': 1447, 'therapyName': 'Pembrolizumab'}]",Study for the Evaluation of Efficacy of Pembrolizumab (MK-3475) in Patients With Rare Tumors,3948
0,NCT02186509,Phase I,Recruiting,"[{'id': 626, 'therapyName': 'Alisertib'}]",Alisertib and Fractionated Stereotactic Radiosurgery in Treating Patients With Recurrent High Grade Gliomas,4813
0,NCT01446809,Phase I,"Active, not recruiting","[{'id': 1472, 'therapyName': 'Doxorubicin + Ifosfamide'}, {'id': 1471, 'therapyName': 'Pazopanib + Doxorubicin + Ifosfamide'}]",Pazopanib Hydrochloride Followed By Chemotherapy and Surgery in Treating Patients With Soft Tissue Sarcoma,8282
0,NCT01446809,Phase I,"Active, not recruiting","[{'id': 1472, 'therapyName': 'Doxorubicin + Ifosfamide'}, {'id': 1471, 'therapyName': 'Pazopanib + Doxorubicin + Ifosfamide'}]",Pazopanib Hydrochloride Followed By Chemotherapy and Surgery in Treating Patients With Soft Tissue Sarcoma,3516
0,NCT01446809,Phase I,"Active, not recruiting","[{'id': 1472, 'therapyName': 'Doxorubicin + Ifosfamide'}, {'id': 1471, 'therapyName': 'Pazopanib + Doxorubicin + Ifosfamide'}]",Pazopanib Hydrochloride Followed By Chemotherapy and Surgery in Treating Patients With Soft Tissue Sarcoma,5693
0,NCT02214147,Phase I,Completed,"[{'id': 626, 'therapyName': 'Alisertib'}]",Pharmacokinetics of Alisertib in Adults With Advanced Solid Tumors or Relapsed/Refractory Lymphoma With Varying Degrees of Hepatic Function,5825
0,NCT01446809,Phase I,"Active, not recruiting","[{'id': 1472, 'therapyName': 'Doxorubicin + Ifosfamide'}, {'id': 1471, 'therapyName': 'Pazopanib + Doxorubicin + Ifosfamide'}]",Pazopanib Hydrochloride Followed By Chemotherapy and Surgery in Treating Patients With Soft Tissue Sarcoma,6332
0,NCT01266031,Phase Ib/II,Completed,"[{'id': 2110, 'therapyName': 'Bevacizumab + Vorinostat'}, {'id': 667, 'therapyName': 'Bevacizumab'}]",Bevacizumab Versus Bevacizumab Plus Vorinostat in Adults With Recurrent Glioblastoma,3186
0,NCT01712659,Phase II,Recruiting,"[{'id': 907, 'therapyName': 'Ruxolitinib'}]",Ruxolitinib for Adult T-Cell Leukemia,50523
1,NCT02737046,Phase II,Recruiting,"[{'id': 1299, 'therapyName': 'Interferon alfa-2b '}, {'id': 2624, 'therapyName': 'peginterferon alfa-2b'}, {'id': 4361, 'therapyName': 'Belinostat + Zidovudine'}]",Belinostat Therapy With Zidovudine for Adult T-Cell Leukemia-Lymphoma,50523
2,NCT03075553,Phase II,Recruiting,"[{'id': 1312, 'therapyName': 'Nivolumab'}]",Nivolumab in Treating Patients With Relapsed or Refractory Peripheral T-cell Lymphoma,50523
0,NCT00006199,Phase I,Unknown status,"[{'id': 938, 'therapyName': 'Tipifarnib'}, {'id': 942, 'therapyName': 'Topotecan'}]","Study of the Farnesyl Transferase Inhibitor, R115777, in Combination With Topotecan (NYU 99-32)",10000003
1,NCT00084695,Phase II,Unknown status,"[{'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 2558, 'therapyName': 'Busulfan + Melphalan'}, {'id': 1844, 'therapyName': 'anti-thymocyte globulin'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 2188, 'therapyName': 'Prednisone'}]",Umbilical Cord Blood for Stem Cell Transplantation in Treating Young Patients With Malignant or Nonmalignant Diseases,10000003
2,NCT00463060,Phase Ib/II,Unknown status,"[{'id': 930, 'therapyName': 'Sunitinib'}]",Sutent and Radiation as Treatment for Limited Extent Metastatic Cancer,10000003
3,NCT00576654,Phase I,Recruiting,"[{'id': 1074, 'therapyName': 'Irinotecan'}, {'id': 954, 'therapyName': 'Veliparib'}]",Irinotecan Hydrochloride and Veliparib in Treating Patients With Cancer That Is Metastatic or Cannot Be Removed by Surgery,10000003
4,NCT00585195,Phase I,Recruiting,"[{'id': 1526, 'therapyName': 'Crizotinib + Itraconazole\t'}, {'id': 1483, 'therapyName': 'Crizotinib + Rifampin'}]","A Study Of Oral PF-02341066, A c-Met/Hepatocyte Growth Factor Tyrosine Kinase Inhibitor, In Patients With Advanced Cancer",10000003
5,NCT00610948,Phase I,Completed,"[{'id': 735, 'therapyName': 'Everolimus'}, {'id': 845, 'therapyName': 'Panitumumab'}]","Everolimus, Fluorouracil, Leucovorin, Panitumumab, and Oxaliplatin in Treating Patients With Solid Tumors That Did Not Respond to Treatment",10000003
6,NCT00625378,Phase III,Recruiting,"[{'id': 920, 'therapyName': 'Sorafenib'}]",Sorafenib Long Term Extension Program (STEP),10000003
7,NCT00658658,Phase I,Completed,"[{'id': 845, 'therapyName': 'Panitumumab'}]",Panitumumab Pediatric Study,10000003
8,NCT00665990,Phase I,Completed,"[{'id': 1119, 'therapyName': 'Sorafenib + Avastin + Cyclophosphamide'}]",Phase I Study of Bevacizumab and Sorafenib Combined With Low Dose Cyclophosphamide in Patients With Refractory Solid Tumors and Leukemia,10000003
9,NCT00697632,Phase I,Recruiting,"[{'id': 809, 'therapyName': 'MGCD265'}]",Safety Study of Oral MGCD265 Administered Without Interruption to Subjects With Advanced Malignancies,10000003
10,NCT00740805,Phase I,"Active, not recruiting","[{'id': 2989, 'therapyName': 'Aldoxorubicin + Cyclophosphamide + Veliparib'}]","Veliparib, Cyclophosphamide, and Doxorubicin Hydrochloride in Treating Patients With Metastatic or Unresectable Solid Tumors or Non-Hodgkin Lymphoma",10000003
11,NCT00756340,Phase I,Completed,"[{'id': 1120, 'therapyName': 'Everolimus + Bevacizumab'}]",A Trial of Everolimus and Bevacizumab in Children With Recurrent Solid Tumors,10000003
12,NCT00761644,Phase I,"Active, not recruiting","[{'id': 1121, 'therapyName': 'Bevacizumab + Temsirolimus + Doxil'}]","Doxil, Bevacizumab and Temsirolimus Trial",10000003
13,NCT00776867,Phase I,Completed,"[{'id': 855, 'therapyName': 'Perifosine'}]",Study of Single Agent Perifosine for Recurrent Pediatric Solid Tumors,10000003
14,NCT00781612,Phase II,Recruiting,"[{'id': 5471, 'therapyName': 'Trastuzumab + trastuzumab emtansine'}, {'id': 5470, 'therapyName': 'Paclitaxel + trastuzumab emtansine'}, {'id': 1402, 'therapyName': 'trastuzumab emtansine'}, {'id': 3930, 'therapyName': 'Docetaxel + T-DM1'}, {'id': 1976, 'therapyName': 'trastuzumab emtansine + Capecitabine'}, {'id': 1492, 'therapyName': 'T-DM1 + Pertuzumab'}]",A Safety Extension Study of Trastuzumab Emtansine in Participants Previously Treated With Trastuzumab Emtansine Alone or in Combination With Other Anti-Cancer Therapy in One of the Parent Studies,10000003
15,NCT00790816,Phase I,Completed,"[{'id': 1410, 'therapyName': 'Lapatinib + Paclitaxel'}, {'id': 787, 'therapyName': 'Lapatinib'}, {'id': 1414, 'therapyName': 'Trastuzumab + Lapatinib'}, {'id': 1399, 'therapyName': 'Lapatinib + Capecitabine'}, {'id': 1497, 'therapyName': 'Lapatinib + Letrozole'}, {'id': 1498, 'therapyName': 'Lapatinib + Oxaliplatin + Capecitabine'}, {'id': 1499, 'therapyName': 'Lapatinib + Gemcitabine'}, {'id': 1500, 'therapyName': 'Lapatinib + Docetaxel'}, {'id': 1501, 'therapyName': 'Lapatinib + Oxaliplatin + Leucovorin + Fluorouracil'}, {'id': 1502, 'therapyName': 'Lapatinib + Irinotecan + Leucovorin + Fluorouracil'}]",Continuation Study of Lapatinib Monotherapy or Lapatinib in Combination With Other Anti-cancer Agents,10000003
16,NCT00858377,Phase I,"Active, not recruiting","[{'id': 983, 'therapyName': 'AMG 900'}]",A Phase 1 First-in-Human Study Evaluating AMG 900 in Advanced Solid Tumors,10000003
17,NCT00889954,Phase I,"Active, not recruiting","[{'id': 1403, 'therapyName': 'Autologous TGF beta resistant HER2 EBV CTLs'}]",Her2 and TGFBeta CTLs in Treatment of Her2 Positive Malignancy,10000003
18,NCT00909831,Phase I,"Active, not recruiting","[{'id': 2302, 'therapyName': 'Hydroxychloroquine + Temsirolimus '}]",Hydroxychloroquine and Temsirolimus in Treating Patients With Metastatic Solid Tumors That Have Not Responded to Treatment,10000003
19,NCT00926640,Phase I,Completed,"[{'id': 1123, 'therapyName': 'Belinostat + Cisplatin + Etoposide'}]",A Phase I Study of Belinostat in Combination With Cisplatin and Etoposide in Adults With Small Cell Lung Carcinoma and Other Advanced Cancers,10000003
20,NCT00981890,Phase I,"Active, not recruiting","[{'id': 930, 'therapyName': 'Sunitinib'}]",Stereotactic Radiosurgery With Sunitinib for Brain Metastases,10000003
21,NCT00999401,Phase I,Recruiting,"[{'id': 1130, 'therapyName': 'Sapacitabine + Seliciclib'}]",A Study of Oral Sapacitabine and Oral Seliciclib in Patients With Advanced Solid Tumors,10000003
22,NCT01004224,Phase I,"Active, not recruiting","[{'id': 674, 'therapyName': 'BGJ398'}]",A Dose Escalation Study in Adult Patients With Advanced Solid Malignancies,10000003
23,NCT01004861,Phase I,"Active, not recruiting","[{'id': 874, 'therapyName': 'PLX3397'}]",Safety Study of PLX108-01 in Patients With Solid Tumors,10000003
24,NCT01012817,Phase Ib/II,Recruiting,"[{'id': 1132, 'therapyName': 'Veliparib + Topotecan'}]","Veliparib and Topotecan Hydrochloride in Treating Patients With Solid Tumors, Relapsed or Refractory Ovarian Cancer, or Primary Peritoneal Cancer",10000003
25,NCT01014936,,Completed,"[{'id': 726, 'therapyName': 'EMD 1214063'}]"," First-in-Man, Dose-escalation Trial of C-met Kinase Inhibitor MSC2156119J in Subjects With Advanced Solid Tumors",10000003
26,NCT01015222,Phase I,"Active, not recruiting","[{'id': 1032, 'therapyName': 'methylnaltrexone'}, {'id': 717, 'therapyName': 'Dasatinib'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 667, 'therapyName': 'Bevacizumab'}]","Dasatinib, Bevacizumab, Paclitaxel in Patients With Advanced Malignancies",10000003
27,NCT01017640,Phase I,Completed,"[{'id': 954, 'therapyName': 'Veliparib'}, {'id': 1134, 'therapyName': 'Veliparib + Mitomycin C'}]"," Veliparib With or Without Mitomycin C in Treating Patients With Metastatic, Unresectable, or Recurrent Solid Tumors",10000003
28,NCT01023737,Phase I,Recruiting,"[{'id': 1135, 'therapyName': 'Vorinostat + Hydroxychloroquine'}]",Hydroxychloroquine + Vorinostat in Advanced Solid Tumors,10000003
29,NCT01058707,Phase I,"Active, not recruiting","[{'id': 1282, 'therapyName': 'Sapanisertib'}]",Dose Escalation Study of MLN0128 in Subjects With Advanced Malignancies,10000003
30,NCT01061788,Phase I,Recruiting,"[{'id': 1138, 'therapyName': 'AMG479 + Everolimus + Panitumumab'}]","A Trial of AMG 479, Everolimus (RAD001) and Panitumumab in Patients With Advanced Cancer",10000003
31,NCT01063075,Phase II,Completed,"[{'id': 1914, 'therapyName': 'Cetuximab + Carboplatin + Fluorouracil'}]",A Study in Advanced Solid Tumors,10000003
32,NCT01081808,Phase I,Terminated,"[{'id': 1012, 'therapyName': 'EGFRBi-armed autologous activated T cells'}]","Laboratory-Treated Autologous Lymphocytes, Aldesleukin, and Sargramostim (GM-CSF) in Treating Advanced Solid Tumors",10000003
33,NCT01087554,Phase I,"Active, not recruiting","[{'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1077, 'therapyName': 'Vorinostat'}]",Sirolimus or Everolimus or Temsirolimus and Vorinostat in Advanced Cancer,10000003
34,NCT01087983,Phase I,Completed,"[{'id': 1139, 'therapyName': 'Lapatinib + Sirolimus'}, {'id': 1140, 'therapyName': 'Lapatinib + Metformin'}]",Lapatinib With Sirolimus or Metformin,10000003
35,NCT01099358,Phase II,Completed,"[{'id': 1915, 'therapyName': 'Cetuximab + Cisplatin'}, {'id': 1715, 'therapyName': 'Fluorouracil'}]",Study in Advanced Solid Tumors,10000003
36,NCT01106599,Phase I,Completed,"[{'id': 748, 'therapyName': 'GDC-0623'}]","A Study Evaluating the Safety, Tolerability, and Pharmacokinetics of GDC-0623 in Patients With Locally Advanced or Metastatic Solid Tumors",10000003
37,NCT01107522,Phase I,"Active, not recruiting","[{'id': 1142, 'therapyName': 'CTO + Temozolomide'}, {'id': 999, 'therapyName': 'Carboxyamidotriazole Orotate'}]",Safety and Tolerability of Carboxyamidotriazole Orotate (CTO) in Solid Tumors or With Temodar&#174; in Glioblastoma or Other Recurrent Malignant Gliomas or in Combination With Temodar&#174; and Radiation Therapy for Patients With Newly Diagnosed Glioblastoma and Malignant Gliomas,10000003
38,NCT01113476,Phase I,Recruiting,"[{'id': 1144, 'therapyName': 'Abraxane + Avastin + Gemcitabine'}]","Nab-paclitaxel, Gemcitabine, and Bevacizumab in Advanced Malignancies",10000003
39,NCT01122199,Phase I,Completed,"[{'id': 1145, 'therapyName': 'Everolimus + AMG479'}]",Study of RAD001 + AMG479 for Patients With Advanced Solid Tumors,10000003
40,NCT01138085,Phase I,Completed,"[{'id': 1150, 'therapyName': 'GSK1120212 + GSK2141795'}]","Safety, Pharmacokinetics (PK) of AKT and MEK Combination",10000003
41,NCT01139723,Phase I,Completed,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1616, 'therapyName': 'MINT1526A'}]","A Study of the Safety and Pharmacokinetics of MINT1526A, Administered Intravenously As a Single Agent and in Combination With Bevacizumab to Patients With Advanced Solid Tumors",10000003
42,NCT01164163,Phase I,Completed,"[{'id': 907, 'therapyName': 'Ruxolitinib'}]","INCB18424 in Treating Young Patients With Relapsed or Refractory Solid Tumor, Leukemia, or Myeloproliferative Disease",10000003
43,NCT01177397,Phase Ib/II,Completed,"[{'id': 693, 'therapyName': 'CC-223'}]","Study to Assess Safety, Pharmacokinetics, and Efficacy of Oral CC-223 for Patients With Advanced Solid Tumors, Non-Hodgkin Lymphoma or Multiple Myeloma",10000003
44,NCT01184326,Phase I,Completed,"[{'id': 1806, 'therapyName': 'everolimus + pazopanib'}]",An Expanded Phase I Study of Pazopanib and Everolimus in Patients With Advanced Solid Tumors and Previously Treated Advanced Urothelial Cancer,10000003
45,NCT01187199,Phase I,"Active, not recruiting","[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 936, 'therapyName': 'Temsirolimus'}]","Phase I Trial of Bevacizumab and Temsirolimus in Combination With 1) Carboplatin, 2) Paclitaxel, 3) Sorafenib for the Treatment of Advanced Cancer",10000003
46,NCT01197170,Phase I,"Active, not recruiting","[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 920, 'therapyName': 'Sorafenib'}, {'id': 633, 'therapyName': 'Anastrozole'}, {'id': 667, 'therapyName': 'Bevacizumab'}]",Hormone Blockade in Combination With Targeted Agents,10000003
47,NCT01213238,Phase I,"Active, not recruiting","[{'id': 1104, 'therapyName': 'Oxaliplatin'}, {'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 667, 'therapyName': 'Bevacizumab'}]","Hepatic Arterial Infusion Oxaliplatin, Capecitabine With or Without Bevacizumab",10000003
48,NCT01218555,Phase I,"Active, not recruiting","[{'id': 1164, 'therapyName': 'lenalidomide'}, {'id': 735, 'therapyName': 'Everolimus'}]",Study of Everolimus (RAD001)in Combination With Lenalidomide,10000003
49,NCT01218867,Phase Ib/II,Completed,"[{'id': 984, 'therapyName': 'Anti-VEGFR2 CAR CD8 lymphocytes'}, {'id': 1148, 'therapyName': 'Cyclophosphamide'}, {'id': 1166, 'therapyName': 'Fludarabine'}, {'id': 1167, 'therapyName': 'Aldesleukin'}]",Treating Metastatic Cancer With Anti-VEGFR2 Gene Engineered CD8+ Lymphocytes,10000003
50,NCT01219699,Phase I,"Active, not recruiting","[{'id': 691, 'therapyName': 'BYL719'}, {'id': 744, 'therapyName': 'Fulvestrant'}]"," A Study of BYL719 in Adult Patients With Advanced Solid Malignancies, Whose Tumors Have an Alteration of the PIK3CA Gene",10000003
51,NCT01226316,Phase I,Recruiting,"[{'id': 655, 'therapyName': 'AZD5363'}]","Safety, Tolerability & Potential Anti-cancer Activity of Increasing Doses of AZD5363 in Different Treatment Schedules",10000003
52,NCT01231594,Phase I,Recruiting,"[{'id': 3, 'therapyName': 'Dabrafenib'}, {'id': 2, 'therapyName': 'Trametinib'}]",A Rollover Study to Provide Continued Treatment With GSK2118436 to Subjects With BRAF Mutation-Positive Tumors,10000003
53,NCT01237236,Phase I,Completed,"[{'id': 790, 'therapyName': 'Ribociclib'}]",A Trial of LEE011 in Patients With Advanced Solid Tumors or Lymphoma.,10000003
54,NCT01239134,Phase I,Recruiting,"[{'id': 3613, 'therapyName': 'TRX518'}]",Trial of TRX518 (Anti-GITR mAb) in Stage III or IV Malignant Melanoma or Other Solid Tumors,10000003
55,NCT01240590,Phase Ib/II,Completed,"[{'id': 1461, 'therapyName': 'Crolibulin + Cisplatin'}, {'id': 700, 'therapyName': 'Cisplatin'}]",A Phase I/II Trial of Crolibulin (EPC2407) Plus Cisplatin in Adults With Solid Tumors With a Focus on Anaplastic Thyroid Cancer (ATC),10000003
56,NCT01248949,Phase I,Completed,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1176, 'therapyName': 'MEDI3617'}, {'id': 755, 'therapyName': 'Gemcitabine'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}]",A Study to Evaluate the Safety and Antitumor Activity in Subjects With Advanced Solid Tumors,10000003
57,NCT01249443,Phase I,Terminated,"[{'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 1103, 'therapyName': 'Paclitaxel'}]",Vorinostat in Combination With Paclitaxel and Carboplatin in Treating Patients With Metastatic or Recurrent Solid Tumors and HIV Infection,10000003
58,NCT01253707,Phase I,Completed,"[{'id': 1064, 'therapyName': 'AMG 337'}]",A Study of AMG 337 in Subjects With Advanced Solid Tumors,10000003
59,NCT01264432,Phase I,"Active, not recruiting","[{'id': 954, 'therapyName': 'Veliparib'}]","Veliparib and Radiation Therapy in Treating Patients With Advanced Solid Malignancies With Peritoneal Carcinomatosis, Epithelial Ovarian, Fallopian, or Primary Peritoneal Cancer",10000003
60,NCT01266057,Phase I,"Active, not recruiting","[{'id': 1135, 'therapyName': 'Vorinostat + Hydroxychloroquine'}, {'id': 1177, 'therapyName': 'Sirolimus + Hydroxychloroquine'}]",Sirolimus or Vorinostat and Hydroxychloroquine in Advanced Cancer,10000003
61,NCT01273155,Phase I,Recruiting,"[{'id': 1078, 'therapyName': 'Belinostat'}]",Belinostat for Solid Tumors and Lymphomas in Patients With Varying Degrees of Hepatic Dysfunction,10000003
62,NCT01276210,Phase I,Completed,"[{'id': 920, 'therapyName': 'Sorafenib'}]",Sorafenib Tosylate and Stereotactic Radiosurgery in Treating Patients With Brain Metastases,10000003
63,NCT01281150,Phase I,Completed,"[{'id': 954, 'therapyName': 'Veliparib'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1092, 'therapyName': 'Carboplatin'}]",Veliparib in Combination With Carboplatin and Paclitaxel in Treating Patients With Locally Advanced or Metastatic Solid Tumors,10000003
64,NCT01281176,,"Active, not recruiting","[{'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1077, 'therapyName': 'Vorinostat'}, {'id': 1092, 'therapyName': 'Carboplatin'}]",High-Dose or Low-Dose Vorinostat in Combination With Carboplatin or Paclitaxel in Treating Patients With Advanced Solid Tumors,10000003
65,NCT01283945,Phase Ib/II,Completed,"[{'id': 1029, 'therapyName': 'Lucitanib'}]","Study of Oral Lucitanib (E-3810), a Dual VEGFR-FGFR Tyrosine Kinase Inhibitor, in Patients With Solid Tumors",10000003
66,NCT01285037,Phase I,"Active, not recruiting","[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 694, 'therapyName': 'Cetuximab'}, {'id': 1030, 'therapyName': 'LY2801653'}]",A Study of LY2801653 in Advanced Cancer,10000003
67,NCT01286987,Phase I,Completed,"[{'id': 682, 'therapyName': 'Talazoparib'}]","Study of BMN 673, a PARP Inhibitor, in Patients With Advanced or Recurrent Solid Tumors",10000003
