,gender,indications,nctId,phase,recruitment,sponsors,therapies,title,updateDate,variantRequirementDetails,variantRequirements
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}]",NCT01026337,Phase I,"Active, not recruiting",Abramson Cancer Center of the University of Pennsylvania ,"[{'id': 930, 'therapyName': 'Sunitinib'}]",Magnetic Resonance Imaging (MRI) in Predicting Response to Sunitinib Malate in Patients With Locally Advanced or Metastatic Kidney Cancer,12/16/2015,[],no
0,female,"[{'id': 60075, 'name': 'estrogen-receptor positive breast cancer', 'source': 'DOID'}]",NCT01027416,Phase I,Completed,Roswell Park Cancer Institute ,"[{'id': 1456, 'therapyName': 'Tamoxifen'}]",Analyzing a New Mechanism in Response to Tamoxifen Therapy in Breast Cancer Patients,06/19/2017,"[{'molecularProfile': {'id': 434, 'profileName': 'TP53 mutant'}, 'requirementType': 'excluded'}]",yes
0,both,"[{'id': 1909, 'name': 'melanoma', 'source': 'DOID'}]",NCT01028222,Phase II,Completed,Novartis Pharmaceuticals,"[{'id': 829, 'therapyName': 'Nilotinib'}]",A Study of AMNN107 in the Treatment of Metastatic and/or Inoperable Melanoma Harboring a c-Kit Mutation,05/20/2015,"[{'molecularProfile': {'id': 1214, 'profileName': 'KIT mutant'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1650, 'profileName': 'KIT D820Y'}, 'requirementType': 'partial'}, {'molecularProfile': {'id': 1652, 'profileName': 'KIT Y823D'}, 'requirementType': 'partial'}]",yes
0,female,"[{'id': 1791, 'name': 'peritoneal carcinoma', 'source': 'DOID'}, {'id': 2394, 'name': 'ovarian cancer', 'source': 'DOID'}, {'id': 1964, 'name': 'fallopian tube cancer', 'source': 'DOID'}]",NCT01031381,Phase II,Completed,University of Pittsburgh,"[{'id': 1120, 'therapyName': 'Everolimus + Bevacizumab'}]","Study of RAD001 and Bevacizumab in Recurrent Ovarian, Peritoneal, and Fallopian Tube Cancer",04/16/2015,[],no
0,both,"[{'id': 60060, 'name': 'non-Hodgkin lymphoma', 'source': 'DOID'}, {'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}]",NCT01032148,Phase I,Terminated,Roswell Park Cancer Institute ,"[{'id': 1080, 'therapyName': 'Panobinostat'}]","Study of LBH589, A Deacetylase Inhibitor in Patients With Recurrent or Refractory Hodgkin or Non-Hodgkin's Lymphoma",01/13/2017,[],no
0,female,"[{'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}]",NCT01035099,Phase I,Recruiting,Weill Medical College of Cornell University ,"[{'id': 794, 'therapyName': 'Letrozole'}]",RCT of Fixed vs Titrated Letrozole in Breast Cancer Patient Undergoing IVF,04/24/2015,[],no
0,both,"[{'id': 60080, 'name': 'Her2-receptor negative breast cancer', 'source': 'DOID'}]",NCT01036087,Phase II,"Active, not recruiting",M.D. Anderson Cancer Center,"[{'id': 1984, 'therapyName': 'Panitumumab + Abraxane + Carboplatin'}, {'id': 1982, 'therapyName': 'Fluorouracil + Epirubicin + Cyclophosphamide'}]","Panitumumab, Nab-paclitaxel and Carboplatin for HER2 Negative Inflammatory Breast Cancer",09/17/2015,"[{'molecularProfile': {'id': 1184, 'profileName': 'ERBB2 neg'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 5041, 'name': 'esophageal cancer', 'source': 'DOID'}, {'id': 2994, 'name': 'germ cell cancer', 'source': 'DOID'}, {'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}, {'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}, {'id': 1909, 'name': 'melanoma', 'source': 'DOID'}, {'id': 3382, 'name': 'liposarcoma', 'source': 'DOID'}, {'id': 9256, 'name': 'colorectal cancer', 'source': 'DOID'}]",NCT01037790,Phase II,Recruiting,Abramson Cancer Center of the University of Pennsylvania,"[{'id': 850, 'therapyName': 'Palbociclib'}]",PD 0332991 in Treating Patients With Refractory Solid Tumors,04/21/2016,[],yes
0,both,"[{'id': 4467, 'name': 'renal clear cell carcinoma', 'source': 'DOID'}]",NCT01038778,Phase Ib/II,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 1541, 'therapyName': 'Entinostat'}, {'id': 1167, 'therapyName': 'Aldesleukin'}]",Entinostat in Combination With Aldesleukin in Treating Patients With Metastatic Kidney Cancer,02/10/2017,[],no
0,female,"[{'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}]",NCT01042379,Phase II,Recruiting,QuantumLeap Healthcare Collaborative,"[{'id': 1218, 'therapyName': 'Trebananib'}, {'id': 1389, 'therapyName': 'Trastuzumab + Pertuzumab'}, {'id': 746, 'therapyName': 'Ganitumab'}, {'id': 1495, 'therapyName': 'Paclitaxel + Doxorubicin + Cyclophosphamide'}, {'id': 1494, 'therapyName': 'MK2206 + Trastuzumab'}, {'id': 1493, 'therapyName': 'Trebananib + Trastuzumab'}, {'id': 1492, 'therapyName': 'T-DM1 + Pertuzumab'}]",I-SPY 2 TRIAL: Neoadjuvant and Personalized Adaptive Novel Agents to Treat Breast Cancer,09/18/2014,[],no
0,female,"[{'id': 192, 'name': 'sex cord-gonadal stromal tumor', 'source': 'DOID'}]",NCT01042522,Phase II,Recruiting,Gynecologic Oncology Group,"[{'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1103, 'therapyName': 'Paclitaxel'}, {'id': 1136, 'therapyName': 'Etoposide'}, {'id': 1137, 'therapyName': 'Bleomycin'}]","Paclitaxel and Carboplatin or Bleomycin Sulfate, Etoposide Phosphate, and Cisplatin in Treating Patients With Advanced or Recurrent Sex Cord-Ovarian Stromal Tumors",08/24/2015,[],no
0,both,[],NCT01042535,,"Active, not recruiting",National Cancer Institute (NCI),[], Vaccine Therapy and 1-MT in Treating Patients With Metastatic Breast Cancer,07/28/2014,[],yes
0,both,"[{'id': 3069, 'name': 'astrocytoma', 'source': 'DOID'}, {'id': 3181, 'name': 'oligodendroglioma', 'source': 'DOID'}, {'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}, {'id': 3070, 'name': 'malignant glioma', 'source': 'DOID'}]",NCT01052363,Phase I,Withdrawn,West Virginia University ,"[{'id': 2109, 'therapyName': 'Bevacizumab + Fosbretabulin'}]",OXC401-PO1s/WVU 1309 - A Pilot Study of Fosbretabulin With Bevacizumab in Recurrent High-Grade Gliomas,02/10/2017,[],no
0,both,"[{'id': 60060, 'name': 'non-Hodgkin lymphoma', 'source': 'DOID'}]",NCT01058239,Phase II,"Active, not recruiting",Massachusetts General Hospital ,"[{'id': 1649, 'therapyName': 'Rituximab + Bortezomib'}]",Bortezomib Plus Rituximab for EBV+ PTLD,02/12/2015,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01058707,Phase I,"Active, not recruiting","Millennium Pharmaceuticals, Inc.","[{'id': 1282, 'therapyName': 'Sapanisertib'}]",Dose Escalation Study of MLN0128 in Subjects With Advanced Malignancies,04/24/2015,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT01059552,Phase I,"Active, not recruiting",Fox Chase Cancer Center ,"[{'id': 1077, 'therapyName': 'Vorinostat'}]",Treatment of Locally Advanced Non-Small Cell Lung Cancer (NSCLC),01/25/2017,[],no
0,both,"[{'id': 3608, 'name': 'appendix adenocarcinoma', 'source': 'DOID'}, {'id': 1791, 'name': 'peritoneal carcinoma', 'source': 'DOID'}, {'id': 50861, 'name': 'colorectal adenocarcinoma', 'source': 'DOID'}]",NCT01061515,Phase I,Recruiting,Washington University School of Medicine,"[{'id': 1105, 'therapyName': 'Capecitabine'}, {'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1104, 'therapyName': 'Oxaliplatin'}]",Biweekly Intraperitoneal Oxaliplatin With Systemic Capecitabine and Bevacizumab for Patients With Peritoneal Carcinomatosis From Appendiceal or Colorectal Cancer,08/24/2015,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}, {'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT01061788,Phase I,Recruiting,Duke University,"[{'id': 1138, 'therapyName': 'AMG479 + Everolimus + Panitumumab'}]","A Trial of AMG 479, Everolimus (RAD001) and Panitumumab in Patients With Advanced Cancer",12/23/2014,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01063075,Phase II,Completed,Eli Lilly and Company,"[{'id': 1914, 'therapyName': 'Cetuximab + Carboplatin + Fluorouracil'}]",A Study in Advanced Solid Tumors,01/27/2016,[],no
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT01064479,Phase II,"Active, not recruiting",M.D. Anderson Cancer Center ,"[{'id': 4, 'therapyName': 'Erlotinib'}, {'id': 1092, 'therapyName': 'Carboplatin'}, {'id': 720, 'therapyName': 'Docetaxel'}, {'id': 700, 'therapyName': 'Cisplatin'}]",Docetaxel And Cisplatin With or Without Erlotinib For Metastatic Or Recurrent Squamous Cell Carcinoma Of Head And Neck,01/14/2016,[],no
0,both,"[{'id': 7474, 'name': 'malignant pleural mesothelioma', 'source': 'DOID'}]",NCT01064648,Phase Ib/II,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 2432, 'therapyName': 'Cediranib + Cisplatin + Pemetrexed'}]",Pemetrexed Disodium and Cisplatin With or Without Cediranib Maleate in Treating Patients With Malignant Pleural Mesothelioma,02/19/2016,[],no
0,both,"[{'id': 8557, 'name': 'oropharynx cancer', 'source': 'DOID'}]",NCT01064921,Phase I,"Active, not recruiting",Ohio State University Comprehensive Cancer Center ,"[{'id': 700, 'therapyName': 'Cisplatin'}, {'id': 1077, 'therapyName': 'Vorinostat'}]",Ph I Vorinostat in the Treatment of Advanced Staged Oropharyngeal Squamous Cell Carcinoma,10/27/2016,[],no
0,both,"[{'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}]",NCT01067469,Phase II,Completed,M.D. Anderson Cancer Center,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 2118, 'therapyName': 'Bevacizumab + Lomustine'}]",Standard Dose Bevacizumab Versus Low Dose Bevacizumab Plus Lomustine (CCNU) for Recurrent Glioblastoma Multiforme (GBM),11/01/2016,[],no
0,both,"[{'id': 684, 'name': 'hepatocellular carcinoma', 'source': 'DOID'}]",NCT01075113,Phase I,"Active, not recruiting",Virginia Commonwealth University ,"[{'id': 2356, 'therapyName': 'Sorafenib + Vorinostat'}]",Sorafenib and Vorinostat in Treating Patients With Advanced Liver Cancer,02/10/2017,[],no
0,both,"[{'id': 8567, 'name': ""Hodgkin's lymphoma"", 'source': 'DOID'}, {'id': 60060, 'name': 'non-Hodgkin lymphoma', 'source': 'DOID'}]",NCT01076543,Phase Ib/II,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 2280, 'therapyName': 'Temsirolimus + Lenalidomide'}]",Lenalidomide and Temsirolimus in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma or Non-Hodgkin Lymphoma,04/08/2015,[],no
0,both,"[{'id': 9952, 'name': 'acute lymphocytic leukemia', 'source': 'DOID'}, {'id': 8552, 'name': 'chronic myeloid leukemia', 'source': 'DOID'}]",NCT01077544,Phase I,Completed,Novartis Pharmaceuticals,"[{'id': 829, 'therapyName': 'Nilotinib'}]",A Pharmacokinetic (PK) Study of Nilotinib in Pediatric Patients With Philadelphia Chromosome-positive (Ph+) Chronic Myelogenous Leukemia (CML) or Acute Lymphoblastic Leukemia (ALL),08/05/2015,[],yes
0,both,"[{'id': 50861, 'name': 'colorectal adenocarcinoma', 'source': 'DOID'}]",NCT01079780,Phase II,Unknown status,Pam Cogliano ,"[{'id': 1920, 'therapyName': 'Irinotecan + Cetuximab + Ramucirumab'}, {'id': 1874, 'therapyName': 'Cetuximab + Irinotecan'}]",Irinotecan Hydrochloride and Cetuximab With or Without Ramucirumab in Treating Patients With Advanced Colorectal Cancer With Progressive Disease After Treatment With Bevacizumab-Containing Chemotherapy,06/20/2017,"[{'molecularProfile': {'id': 496, 'profileName': 'KRAS wild-type'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01081808,Phase I,Terminated,Roger Williams Medical Center,"[{'id': 1012, 'therapyName': 'EGFRBi-armed autologous activated T cells'}]","Laboratory-Treated Autologous Lymphocytes, Aldesleukin, and Sargramostim (GM-CSF) in Treating Advanced Solid Tumors",03/25/2015,"[{'molecularProfile': {'id': 1102, 'profileName': 'EGFR positive'}, 'requirementType': 'required'}]",yes
0,both,[],NCT01083966,Phase I,Suspended,Weill Medical College of Cornell University,"[{'id': 667, 'therapyName': 'Bevacizumab'}]",Intraarterial Cerebral Infusion of Avastin for Vestibular Schwannoma (Acoustic Neuroma),09/18/2015,[],no
0,,[],NCT01084252,,Recruiting,,"[{'id': 1390, 'therapyName': 'Dexamethasone'}]",Phase 1/2 Dose Escalation and Efficacy Study of Anti-CD38 Monoclonal Antibody in Patients With Selected CD38+ Hematological Malignancies,10/19/2017,[],
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01087554,Phase I,"Active, not recruiting",M.D. Anderson Cancer Center,"[{'id': 936, 'therapyName': 'Temsirolimus'}, {'id': 735, 'therapyName': 'Everolimus'}, {'id': 917, 'therapyName': 'Sirolimus'}, {'id': 1077, 'therapyName': 'Vorinostat'}]",Sirolimus or Everolimus or Temsirolimus and Vorinostat in Advanced Cancer,05/20/2016,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01087983,Phase I,Completed,M.D. Anderson Cancer Center,"[{'id': 1139, 'therapyName': 'Lapatinib + Sirolimus'}, {'id': 1140, 'therapyName': 'Lapatinib + Metformin'}]",Lapatinib With Sirolimus or Metformin,09/25/2015,[],no
0,both,"[{'id': 4074, 'name': 'pancreatic adenocarcinoma', 'source': 'DOID'}]",NCT01088815,Phase II,Unknown status,Sidney Kimmel Comprehensive Cancer Center,"[{'id': 1799, 'therapyName': 'Vismodegib + Gemcitabine + Abraxane'}]",Hedgehog Inhibitors for Metastatic Adenocarcinoma of the Pancreas,06/20/2017,[],no
0,both,"[{'id': 3070, 'name': 'malignant glioma', 'source': 'DOID'}, {'id': 4992, 'name': 'optic nerve glioma', 'source': 'DOID'}, {'id': 4851, 'name': 'pilocytic astrocytoma', 'source': 'DOID'}]",NCT01089101,Phase Ib/II,Recruiting,National Cancer Institute (NCI),"[{'id': 913, 'therapyName': 'Selumetinib'}]",Selumetinib in Treating Young Patients With Recurrent or Refractory Low Grade Glioma,06/19/2017,"[{'molecularProfile': {'id': 1, 'profileName': 'BRAF V600E'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 9119, 'name': 'acute myeloid leukemia', 'source': 'DOID'}]",NCT01093573,Phase Ib/II,"Active, not recruiting","Brenda Cooper, MD ","[{'id': 2471, 'therapyName': 'Azacitidine + Midostaurin'}]",Midostaurin and Azacitidine in Treating Elderly Patients With Acute Myelogenous Leukemia,06/11/2016,[],no
0,,[],NCT01097278,,"Active, not recruiting",Southwest Oncology Group,[], S0812 High Dose Cholecalciferol in Premenopausal Women at High-Risk for Breast Cancer,01/09/2015,[],yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01099358,Phase II,Completed,Eli Lilly and Company,"[{'id': 1915, 'therapyName': 'Cetuximab + Cisplatin'}, {'id': 1715, 'therapyName': 'Fluorouracil'}]",Study in Advanced Solid Tumors,12/14/2016,[],no
0,both,"[{'id': 4467, 'name': 'renal clear cell carcinoma', 'source': 'DOID'}]",NCT01099423,Phase III,"Active, not recruiting",European Organisation for Research and Treatment of Cancer - EORTC ,"[{'id': 930, 'therapyName': 'Sunitinib'}]",Immediate Surgery or Surgery After Sunitinib Malate in Treating Patients With Metastatic Kidney Cancer,07/13/2016,[],no
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT01104922,Phase II,"Active, not recruiting",University of Pittsburgh ,"[{'id': 694, 'therapyName': 'Cetuximab'}]",Re-irradiation With Fractionated Stereotactic Radiosurgery Plus Cetuximab in Patients With Recurrent Squamous Cell Carcinoma of the Head and Neck,12/03/2015,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01106599,Phase I,Completed,"Genentech, Inc. ","[{'id': 748, 'therapyName': 'GDC-0623'}]","A Study Evaluating the Safety, Tolerability, and Pharmacokinetics of GDC-0623 in Patients With Locally Advanced or Metastatic Solid Tumors",12/29/2014,[],no
0,both,"[{'id': 1115, 'name': 'sarcoma', 'source': 'DOID'}]",NCT01106872,Phase Ib/II,Completed,University of Iowa,"[{'id': 1466, 'therapyName': 'Bevacizumab + Gemcitabine + Docetaxel + Valproic Acid '}]","Bevacizumab, Chemotherapy and Valproic Acid in Advanced Sarcomas",08/25/2017,[],no
0,female,"[{'id': 1612, 'name': 'breast cancer', 'source': 'DOID'}]",NCT01106898,Phase II,Unknown status,University of Nebraska,"[{'id': 1980, 'therapyName': 'Cyclophosphamide + Paclitaxel'}, {'id': 947, 'therapyName': 'Trastuzumab'}]",Cyclophosphamide and Paclitaxel With or Without Trastuzumab in Treating Women With Stage I or Stage II Breast Cancer Who Have Undergone Surgery,06/20/2017,[],no
0,both,"[{'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}, {'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}, {'id': 3070, 'name': 'malignant glioma', 'source': 'DOID'}]",NCT01107522,Phase I,"Active, not recruiting","Tactical Therapeutics, Inc.","[{'id': 1142, 'therapyName': 'CTO + Temozolomide'}, {'id': 999, 'therapyName': 'Carboxyamidotriazole Orotate'}]",Safety and Tolerability of Carboxyamidotriazole Orotate (CTO) in Solid Tumors or With Temodar&#174; in Glioblastoma or Other Recurrent Malignant Gliomas or in Combination With Temodar&#174; and Radiation Therapy for Patients With Newly Diagnosed Glioblastoma and Malignant Gliomas,01/07/2017,[],no
0,both,"[{'id': 3908, 'name': 'non-small cell lung carcinoma', 'source': 'DOID'}]",NCT01107626,Phase III,"Active, not recruiting",Eastern Cooperative Oncology Group ,"[{'id': 854, 'therapyName': 'Pemetrexed'}, {'id': 667, 'therapyName': 'Bevacizumab'}]",Bevacizumab or Pemetrexed Disodium Alone or In Combination After Induction Therapy in Treating Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,02/10/2017,[],no
0,both,"[{'id': 8923, 'name': 'skin melanoma', 'source': 'DOID'}]",NCT01107665,Phase II,"Active, not recruiting","University of California, Irvine","[{'id': 1143, 'therapyName': 'Pazopanib + Paclitaxel'}]",Pazopanib and Paclitaxel as First-Line Treatment for Subjects With Unresectable Stage III and Stage IV Melanoma,12/09/2016,[],no
0,both,"[{'id': 4006, 'name': 'bladder urothelial carcinoma', 'source': 'DOID'}, {'id': 5974, 'name': 'renal pelvis transitional cell carcinoma', 'source': 'DOID'}, {'id': 6888, 'name': 'ureter transitional cell carcinoma', 'source': 'DOID'}, {'id': 4013, 'name': 'urethra transitional cell carcinoma', 'source': 'DOID'}]",NCT01108055,Phase II,Completed,Stanford University,"[{'id': 1143, 'therapyName': 'Pazopanib + Paclitaxel'}]",Phase II Pazopanib in Combination With Weekly Paclitaxel in Refractory Urothelial Cancer,06/10/2017,[],no
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT01111058,Phase II,"Active, not recruiting",University of Chicago,"[{'id': 735, 'therapyName': 'Everolimus'}]",Everolimus Versus Placebo in Head and Neck Cancer,04/08/2015,[],no
0,both,"[{'id': 50746, 'name': 'mantle cell lymphoma', 'source': 'DOID'}]",NCT01111188,,"Active, not recruiting",,"[{'id': 1730, 'therapyName': 'Palbociclib + Velcade'}]", Trial of PD 0332991 Plus Bortezomib in Patients With Relapsed Mantle Cell Lymphoma,02/08/2017,[],yes
0,both,"[{'id': 3458, 'name': 'breast adenocarcinoma', 'source': 'DOID'}]",NCT01111825,Phase Ib/II,Completed,"Puma Biotechnology, Inc.","[{'id': 1527, 'therapyName': 'Temsirolimus + Neratinib'}]",Temsirolimus Plus Neratinib for Patients With Metastatic HER2-Amplified or Triple Negative Breast Cancer,10/08/2016,"[{'molecularProfile': {'id': 531, 'profileName': 'ERBB2 amp'}, 'requirementType': 'partial'}]",yes
0,both,"[{'id': 3073, 'name': 'brain glioblastoma multiforme', 'source': 'DOID'}, {'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}]",NCT01112527,Phase II,"Active, not recruiting","Massachusetts General Hospital, Dana-Farber Cancer Institute, Brigham and Women's Hospital, Henry Ford Hospital, Pfizer","[{'id': 714, 'therapyName': 'Dacomitinib'}]",PF-00299804 in Adult Patients With Relapsed/Recurrent Glioblastoma,09/29/2015,"[{'molecularProfile': {'id': 447, 'profileName': 'EGFR amp'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01113476,Phase I,Recruiting,M.D. Anderson Cancer Center,"[{'id': 1144, 'therapyName': 'Abraxane + Avastin + Gemcitabine'}]","Nab-paclitaxel, Gemcitabine, and Bevacizumab in Advanced Malignancies",07/08/2017,[],no
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT01116336,Phase I,Recruiting,"Emory University, Astellas Pharma Inc, Polyphenon Pharma","[{'id': 4, 'therapyName': 'Erlotinib'}]",Phase I Chemoprevention Trial With Green Tea Polyphenon E and Erlotinib in Patients With Premalignant Lesions of the Head and Neck,03/26/2015,[],no
0,female,"[{'id': 1725, 'name': 'peritoneum cancer', 'source': 'DOID'}, {'id': 60080, 'name': 'Her2-receptor negative breast cancer', 'source': 'DOID'}, {'id': 1964, 'name': 'fallopian tube cancer', 'source': 'DOID'}, {'id': 2152, 'name': 'ovary epithelial cancer', 'source': 'DOID'}]",NCT01116648,Phase Ib/II,"Active, not recruiting",National Cancer Institute (NCI),"[{'id': 837, 'therapyName': 'Olaparib'}, {'id': 1971, 'therapyName': 'Cediranib + Olaparib'}]","Cediranib Maleate and Olaparib in Treating Patients With Recurrent Ovarian, Fallopian Tube, or Peritoneal Cancer or Recurrent Triple-Negative Breast Cancer",02/13/2016,[],yes
0,both,[],NCT01118975,,Terminated,University of Maryland,[],GCC 0845:Vorinostat and Lapatinib in Advanced Solid Tumors and Advanced Breast Cancer to Evaluate Response and Biomarkers,07/28/2014,"[{'molecularProfile': {'id': 1187, 'profileName': 'ERBB2 positive'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 4450, 'name': 'renal cell carcinoma', 'source': 'DOID'}]",NCT01120249,Phase III,"Active, not recruiting",Southwest Oncology Group ,"[{'id': 735, 'therapyName': 'Everolimus'}]","S0931, Everolimus in Treating Patients With Kidney Cancer Who Have Undergone Surgery",10/07/2016,[],no
0,,[],NCT01121588,,"Active, not recruiting",,"[{'id': 706, 'therapyName': 'Crizotinib'}]","An Investigational Drug, Crizotinib (PF-02341066), Is Being Studied In Tumors, Except Non-Small Cell Lung Cancer, That Are Positive For Anaplastic Lymphoma Kinase (ALK)",10/02/2014,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01122199,Phase I,Completed,Indiana University,"[{'id': 1145, 'therapyName': 'Everolimus + AMG479'}]",Study of RAD001 + AMG479 for Patients With Advanced Solid Tumors,05/11/2017,[],no
0,both,"[{'id': 3458, 'name': 'breast adenocarcinoma', 'source': 'DOID'}]",NCT01124695,Phase II,Unknown status,Eastern Cooperative Oncology Group ,"[{'id': 1456, 'therapyName': 'Tamoxifen'}]",Tamoxifen Citrate in Treating Patients With Metastatic or Recurrent Breast Cancer,06/20/2017,[],yes
0,both,"[{'id': 5041, 'name': 'esophageal cancer', 'source': 'DOID'}]",NCT01128387,Phase Ib/II,Completed,"University of Wisconsin, Madison","[{'id': 1715, 'therapyName': 'Fluorouracil'}, {'id': 845, 'therapyName': 'Panitumumab'}, {'id': 700, 'therapyName': 'Cisplatin'}]",Trial of Panitumumab/Cisplatin/Fluorouracil With XRT in Esophageal Cancer,11/19/2016,[],no
0,both,"[{'id': 3071, 'name': 'gliosarcoma', 'source': 'DOID'}, {'id': 3069, 'name': 'astrocytoma', 'source': 'DOID'}, {'id': 3070, 'name': 'malignant glioma', 'source': 'DOID'}, {'id': 3068, 'name': 'glioblastoma multiforme', 'source': 'DOID'}, {'id': 4202, 'name': 'brain stem glioma', 'source': 'DOID'}]",NCT01130077,Phase I,Recruiting,University of Pittsburgh ,"[{'id': 2595, 'therapyName': 'poly ICLC  '}]",A Pilot Study of Glioma Associated Antigen Vaccines in Conjunction With Poly-ICLC in Pediatric Gliomas,08/11/2015,[],no
0,both,"[{'id': 4465, 'name': 'papillary renal cell carcinoma', 'source': 'DOID'}]",NCT01130519,Phase II,Recruiting,National Cancer Institute (NCI),"[{'id': 1146, 'therapyName': 'Bevacizumab + Erlotinib'}]",A Phase II Study of Bevacizumab and Erlotinib in Subjects With Advanced Hereditary Leiomyomatosis and Renal Cell Cancer (HLRCC) or Sporadic Papillary Renal Cell Cancer,05/09/2015,[],no
0,female,"[{'id': 1791, 'name': 'peritoneal carcinoma', 'source': 'DOID'}, {'id': 1964, 'name': 'fallopian tube cancer', 'source': 'DOID'}, {'id': 2394, 'name': 'ovarian cancer', 'source': 'DOID'}]",NCT01132014,Phase I,"Active, not recruiting",Abramson Cancer Center of the University of Pennsylvania,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1154, 'therapyName': 'Dacarbazine'}]",Autologous OC-DC Vaccine in Ovarian Cancer,02/10/2016,[],no
0,both,"[{'id': 5520, 'name': 'head and neck squamous cell carcinoma', 'source': 'DOID'}]",NCT01133678,Phase II,"Active, not recruiting",University of Chicago,"[{'id': 1790, 'therapyName': 'Cetuximab + Cisplatin + Paclitaxel'}, {'id': 735, 'therapyName': 'Everolimus'}]",Study in Locally Advanced Squamous Cell Carcinoma of Head and Neck,06/24/2015,[],no
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01138085,Phase I,Completed,GlaxoSmithKline,"[{'id': 1150, 'therapyName': 'GSK1120212 + GSK2141795'}]","Safety, Pharmacokinetics (PK) of AKT and MEK Combination",06/06/2015,"[{'molecularProfile': {'id': 448, 'profileName': 'KRAS mutant'}, 'requirementType': 'required'}, {'molecularProfile': {'id': 465, 'profileName': 'BRAF mutant'}, 'requirementType': 'required'}, {'molecularProfile': {'id': 4, 'profileName': 'BRAF wild-type'}, 'requirementType': 'required'}]",yes
0,both,"[{'id': 10000003, 'name': 'Advanced Solid Tumor', 'source': 'JAX'}]",NCT01139723,Phase I,Completed,Genentech,"[{'id': 667, 'therapyName': 'Bevacizumab'}, {'id': 1616, 'therapyName': 'MINT1526A'}]","A Study of the Safety and Pharmacokinetics of MINT1526A, Administered Intravenously As a Single Agent and in Combination With Bevacizumab to Patients With Advanced Solid Tumors",12/23/2014,[],no
