,drugName,id,DrugClass_id,terms,,,,,,
1,GW5074,8058,57,['GW5074'],,,,,,
2,PLX8394,7160,57,['PLX8394'],,,,,,
3,SKLB646,8283,57,['SKLB646'],,,,,,
4,RXDX-105,7121,57,['RXDX-105', 'AC013773', 'CEP-32496'],,,,
5,Regorafenib,6803,57,['Regorafenib', 'Stivarga', 'BAY 73-4506'],,,,
6,ZM336372,7321,57,['ZM336372'],,,,,,
7,GDC0879,7206,57,['GDC0879'],,,,,,
0,MCS110,7775,249,['MCS110'],,,,,,
1,PD 0360324,8811,249,['PD 0360324', 'PD-0360324'],,,,,
0,FPA008,7777,241,['FPA008'],,,,,,
1,LY3022855,7376,241,['LY3022855', 'anti-CSF-1R monoclonal antibody IMC-CS4', 'IMC-CS4'],,,,
2,AMG820,7779,241,['AMG820'],,,,,,
0,Sorafenib,390,59,['Sorafenib', 'Nexavar', 'BAY 43-9006'],,,,
1,JNJ-40346527,7776,59,['JNJ-40346527'],,,,,,
2,Imatinib mesylate,609,59,['Imatinib mesylate', 'Gleevec', 'CGP-57148B', 'STI571'],,,
3,DCC-3014,8781,59,['DCC-3014'],,,,,,
4,Chiauranib,7373,59,['Chiauranib', 'CS2164'],,,,,
5,AC708,7782,59,['AC708'],,,,,,
6,Sunitinib,1255,59,['Sunitinib', 'Sutent', 'SU011248'],,,,
7,Linifanib,6937,59,['Linifanib', 'ABT-869', 'AL-39324'],,,,
8,Dasatinib,1241,59,['Dasatinib', 'Sprycel', 'BMS-354825'],,,,
9,BLZ945,7781,59,['BLZ945'],,,,,,
10,Midostaurin,6949,59,['Midostaurin', 'Rydapt', 'CGP 41251', 'PKC412'],,,
11,Ki20227,7774,59,['Ki20227'],,,,,,
12,Debio 0617B,8555,59,['Debio 0617B'],,,,,,
13,Lestaurtinib,6935,59,['Lestaurtinib', 'CEP-701'],,,,,
14,Emactuzumab,7780,59,['Emactuzumab', 'RG7155', 'RO5509554'],,,,
15,Dovitinib,6897,59,['Dovitinib', 'CHIR-258', 'TKI258'],,,,
16,PLX7486,7626,59,['PLX7486'],,,,,,
17,GW2580,7773,59,['GW2580'],,,,,,
18,PLX3397,6991,59,['PLX3397', 'Pexidartinib'],,,,,
19,Nilotinib,4655,59,['Nilotinib', 'Tasigna', 'AMN-107'],,,,
20,ARRY-382,7778,59,['ARRY-382'],,,,,,
0,Tremelimumab,7307,260,['Tremelimumab', 'CP-675,206'],,,,
1,Ipilimumab,6926,260,['Ipilimumab', 'Yervoy', 'BMS-734016'],,,,
2,AGEN1884,8750,260,['AGEN1884'],,,,,,
0,iCRT-3,7510,60,['iCRT-3'],,,,,,
1,RX-5902,8944,60,['RX-5902'],,,,,,
2,JW67,7939,60,['JW67'],,,,,,
3,ICG-001,7422,60,['ICG-001'],,,,,,
4,CCT036477,7505,60,['CCT036477'],,,,,,
5,Pri-724,7199,60,['Pri-724'],,,,,,
6,CCT031374,7507,60,['CCT031374'],,,,,,
7,Niclosamide,4811,60,['Niclosamide', 'Niclocide'],,,,,
8,iCRT-14,7533,60,['iCRT-14'],,,,,,
9,PKF115-584,7419,60,['PKF115-584'],,,,,,
10,BC21,7516,60,['BC21'],,,,,,
11,PKF118-310,7504,60,['PKF118-310'],,,,,,
12,FH535,7421,60,['FH535'],,,,,,
13,JW74,7940,60,['JW74'],,,,,,
14,NC043,7511,60,['NC043'],,,,,,
15,Pyrvinium,7518,60,['Pyrvinium'],,,,,,
16,LF3,8561,60,['LF3'],,,,,,
17,PMED-1,8056,60,['PMED-1'],,,,,,
18,CCT070535,7506,60,['CCT070535'],,,,,,
19,iCRT-5,7532,60,['iCRT-5'],,,,,,
20,StAx-35,7423,60,['StAx-35'],,,,,,
21,CWP232291,7930,60,['CWP232291'],,,,,,
22,BC2059,8935,60,['BC2059'],,,,,,
23,PNU-74654,7534,60,['PNU-74654'],,,,,,
24,CWP232228,7944,60,['CWP232228'],,,,,,
25,CGP049090,7420,60,['CGP049090'],,,,,,
0,SX-682,8797,61,['SX-682'],,,,,,
0,X4P-001,8144,62,['X4P-001'],,,,,,
1,MSX-122,7785,62,['MSX-122'],,,,,,
2,BKT140,7786,62,['BKT140', 'BL-8040', 'TN14003'],,,,
3,SJA5,7787,62,['SJA5'],,,,,,
4,PF-06747143,8913,62,['PF-06747143'],,,,,,
5,AMD11070,7788,62,['AMD11070'],,,,,,
6,POL5551,8300,62,['POL5551'],,,,,,
7,LY2510924,7783,62,['LY2510924'],,,,,,
8,ALX-0651,7789,62,['ALX-0651'],,,,,,
9,Ulocuplumab,7784,62,['Ulocuplumab', 'BMS-936564', 'MDX1338'],,,,
10,PRX177561,8712,62,['PRX177561'],,,,,,
11,TG-0054,7790,62,['TG-0054'],,,,,,
12,POL6326 ,7791,62,['POL6326 ', 'Balixafortide'],,,,,
13,Plerixafor,7330,62,['Plerixafor', 'Mozobil', 'AMD3100'],,,,
0,MGCD516,7309,63,['MGCD516', 'Sitravatinib'],,,,,
1,Nilotinib,4655,63,['Nilotinib', 'Tasigna', 'AMN-107'],,,,
2,Lucitanib ,7145,63,['Lucitanib ', 'AL3810', 'E-3810'],,,,
3,Bafetinib,6863,63,['Bafetinib', 'INNO-406', 'NS-187'],,,,
4,Dasatinib,1241,63,['Dasatinib', 'Sprycel', 'BMS-354825'],,,,
5,Ponatinib,6808,63,['Ponatinib', 'Iclusig', 'AP24534'],,,,
6,7RH,8740,63,['7RH'],,,,,,
0,Ponatinib,6808,64,['Ponatinib', 'Iclusig', 'AP24534'],,,,
1,Dasatinib,1241,64,['Dasatinib', 'Sprycel', 'BMS-354825'],,,,
2,Nilotinib,4655,64,['Nilotinib', 'Tasigna', 'AMN-107'],,,,
3,Bafetinib,6863,64,['Bafetinib', 'INNO-406', 'NS-187'],,,,
4,Lucitanib ,7145,64,['Lucitanib ', 'AL3810', 'E-3810'],,,,
5,MGCD516,7309,64,['MGCD516', 'Sitravatinib'],,,,,
0,Demcizumab,7379,66,['Demcizumab', 'anti-delta-like 4 monoclonal antibody OMP-21M18', 'OMP-21M18'],,,,
1,HD105,8323,66,['HD105'],,,,,,
2,REGN421,7004,66,['REGN421', 'Enoticumab', 'SAR153192'],,,,
3,Navicixizumab,8792,66,['Navicixizumab'],,,,,,
4,MEDI0639,7575,66,['MEDI0639', 'MEDI-0639'],,,,,
5,OMP-305B83,7687,66,['OMP-305B83'],,,,,,
0,MSC2490484A ,8175,67,['MSC2490484A ', 'M-3814', 'M3814'],,,,
1,NU7026,8598,67,['NU7026'],,,,,,
2,KU60648,8874,67,['KU60648', 'KU-0060648'],,,,,
3,NU7441,8599,67,['NU7441'],,,,,,
4,Panulisib,7071,67,['Panulisib', 'P7170'],,,,,
0,Decitabine,1249,68,['Decitabine', 'Dacogen', '5-aza-2-deoxycytidine'],,,,
1,Zebularine,2946,68,['Zebularine', '1-beta-D-ribofuranosyl-2(1H)-pyrimidinone'],,,,,
2,SGI-110,7370,68,['SGI-110', 'DNMT inhibitor SGI-110', 'guadecitabine', 'S110'],,,
3,SGI-1027,7278,68,['SGI-1027'],,,,,,
4,Azacitidine,917,68,['Azacitidine', 'Vidaza', '5-AC', '5-azacytidine', 'azacytidine', 'CC-486', 'U-18496']
0,TdCyd,7830,69,['TdCyd'," ""4'-thio-2'-deoxycytidine""]",,,,,
1,RG108,7711,69,['RG108'],,,,,,
2,MG 98,8850,69,['MG 98', 'MG98'],,,,,
0,EPZ-5676,7792,70,['EPZ-5676', 'pinometostat'],,,,,
1,EPZ004777,7325,70,['EPZ004777', 'EPZ4777'],,,,,
2,SGC0946,7793,70,['SGC0946'],,,,,,
0,INDY,8034,71,['INDY'],,,,,,
1,Harmine,8032,71,['Harmine'],,,,,,
2,EHT5372,8039,71,['EHT5372'],,,,,,
3,Epigallocatechin-gallate,8033,71,['Epigallocatechin-gallate'],,,,,,
0,RO5454948,8041,72,['RO5454948'],,,,,,
1,AZ191,8040,72,['AZ191'],,,,,,
2,EHT5372,8039,72,['EHT5372'],,,,,,
0,SYM004,7026,73,['SYM004', 'Symphogen'],,,,,
1,EGFRBi-armed autologous activated T cells,7129,73,['EGFRBi-armed autologous activated T cells'],,,,,,
2,ABT-806,8390,73,['ABT-806'],,,,,,
3,Nimotuzumab,6963,73,['Nimotuzumab', 'Theraloc'],,,,,
4,AFM24,8832,73,['AFM24'],,,,,,
5,JNJ-61186372,8467,73,['JNJ-61186372'],,,,,,
6,ABBV-221,7837,73,['ABBV-221'],,,,,,
7,ME22S,8093,73,['ME22S'],,,,,,
8,CT16,8701,73,['CT16'],,,,,,
9,LY3164530,7371,73,['LY3164530'],,,,,,
10,GA201,7960,73,['GA201', 'RG7160'],,,,,
11,SYN004,8664,73,['SYN004'],,,,,,
12,MEHD7945A,6946,73,['MEHD7945A'],,,,,,
13,Panitumumab,1256,73,['Panitumumab', 'Vectibix', 'ABX-EGF'],,,,
14,GC1118,7836,73,['GC1118'],,,,,,
15,Necitumumab,7068,73,['Necitumumab', 'Portrazza', 'IMC-11F8'],,,,
16,HLX07,8303,73,['HLX07'],,,,,,
17,ABT-414,7085,73,['ABT-414'],,,,,,
18,ER2,8301,73,['ER2'],,,,,,
19,Cetuximab,2,73,['Cetuximab', 'Erbitux'],,,,,
20,MM-151,6958,73,['MM-151'],,,,,,
21,RM-1929,7841,73,['RM-1929'],,,,,,
22,AVID100,8776,73,['AVID100'],,,,,,
0,anti-EGFR CAR T,7838,258,['anti-EGFR CAR T'],,,,,,
0,Epitinib,8197,74,['Epitinib', 'HMPL-813'],,,,,
1,BGB-283,8325,74,['BGB-283'],,,,,,
2,S-222611,7166,74,['S-222611'],,,,,,
3,Sapitinib,7016,74,['Sapitinib', 'AZD8931', 'AZD89311'],,,,
4,ZM39923,7746,74,['ZM39923', 'ZM449829'],,,,,
5,Varlitinib,7175,74,['Varlitinib', 'ARRY-334543', 'ARRY-543'],,,,
6,Vandetanib,4691,74,['Vandetanib', 'Caprelsa', 'ZD6474'],,,,
7,EKI-285,7834,74,['EKI-285', 'CL-387,785', 'CL-387785'],,,
8,EAI045,8474,74,['EAI045'],,,,,,
9,BMS-690514,6879,74,['BMS-690514'],,,,,,
10,CLM3,8102,74,['CLM3'],,,,,,
11,Poziotinib,7161,74,['Poziotinib', 'HM781-36B', 'NOV120101'],,,,
12,Brigatinib,6840,74,['Brigatinib', 'Alunbrig', 'AP26113'],,,,
13,Lapatinib,1246,74,['Lapatinib', 'Tykerb', 'FMM'],,,,
14,Ibrutinib,6923,74,['Ibrutinib', 'Imbruvica', 'PCI-32765'],,,,
15,JANEX-1,7755,74,['JANEX-1', 'WHI-P131'],,,,,
16,Pelitinib,6980,74,['Pelitinib', 'EKB-569'],,,,,
17,Gefitinib,310,74,['Gefitinib', 'Iressa', 'ZD1839'],,,,
18,Canertinib,7433,74,['Canertinib', 'CI-1033'],,,,,
19,Tyrphostin B42,7734,74,['Tyrphostin B42', 'AG-490'],,,,,
20,XL647,7049,74,['XL647', 'KD019', 'Tesevatinib'],,,,
21,AZD3759,7835,74,['AZD3759'],,,,,,
22,TAK-285,7432,74,['TAK-285'],,,,,,
23,CUDC-101,7124,74,['CUDC-101'],,,,,,
24,Hemay022,8449,74,['Hemay022'],,,,,,
25,Afatinib,6823,74,['Afatinib', 'Gilotrif', 'BIBW 2992'],,,,
26,JNJ-26483327,7143,74,['JNJ-26483327'],,,,,,
27,AEE788,6830,74,['AEE788'],,,,,,
28,AC480,7086,74,['AC480', 'BMS-599626'],,,,,
29,Erlotinib,520,74,['Erlotinib', 'Tarceva', 'CP358774'],,,,
30,AV-412,7105,74,['AV-412', 'MP-412'],,,,,
31,PR610,7162,74,['PR610'],,,,,,
32,EGFR Antisense DNA,7430,74,['EGFR Antisense DNA'],,,,,,
33,Theliatinib,8198,74,['Theliatinib', 'HMPL-309'],,,,,
34,KD020,7404,74,['KD020'],,,,,,
0,Erlotinib,520,75,['Erlotinib', 'Tarceva', 'CP358774'],,,,
1,Icotinib,7064,75,['Icotinib', 'BPI-2009', 'Conmana'],,,,
2,Gefitinib,310,75,['Gefitinib', 'Iressa', 'ZD1839'],,,,
0,AV-412,7105,76,['AV-412', 'MP-412'],,,,,
1,Afatinib,6823,76,['Afatinib', 'Gilotrif', 'BIBW 2992'],,,,
2,Dacomitinib,6893,76,['Dacomitinib', 'PF-00299804', 'PF299804'],,,,
0,WZ4002,7927,77,['WZ4002'],,,,,,
1,HM61713,7434,77,['HM61713', 'BI 1482694'],,,,,
2,PF-06459988,8177,77,['PF-06459988'],,,,,,
3,CK-101,8663,77,['CK-101'],,,,,,
4,HS-10296,8823,77,['HS-10296'],,,,,,
5,ASP8273,7198,77,['ASP8273'],,,,,,
6,AZ5104,8853,77,['AZ5104', 'AZ-5104'],,,,,
7,AC0010MA,7832,77,['AC0010MA'],,,,,,
8,CO1686,7122,77,['CO1686', 'Rociletinib'],,,,,
9,EGF816,7234,77,['EGF816', 'Nazartinib'],,,,,
10,Osimertinib,7059,77,['Osimertinib', 'Tagrisso', 'AZD9291'],,,,
11,Avitinib,7840,77,['Avitinib'],,,,,,
0,BIX-01294,7797,78,['BIX-01294'],,,,,,
1,BRD4770,7329,78,['BRD4770'],,,,,,
2,UNC0638,7328,78,['UNC0638'],,,,,,
0,sEphB4-HSA,7910,79,['sEphB4-HSA'],,,,,,
1,AZ12489875-002,8070,79,['AZ12489875-002'],,,,,,
2,JI-101,6928,79,['JI-101'],,,,,,
3,Golvatinib,7136,79,['Golvatinib', 'E7050'],,,,,
4,NVP-BHG712,8069,79,['NVP-BHG712'],,,,,,
5,XL647,7049,79,['XL647', 'KD019', 'Tesevatinib'],,,,
0,VRT11E,8430,80,['VRT11E'],,,,,,
1,VX-11e,7751,80,['VX-11e'],,,,,,
2,AEZS-131,8023,80,['AEZS-131'],,,,,,
3,GDC-0994,7442,80,['GDC-0994'],,,,,,
4,LY3214996,8491,80,['LY3214996'],,,,,,
5,DEL-22379,8230,80,['DEL-22379'],,,,,,
6,ONC201,7318,80,['ONC201', 'TIC-10', 'TIC10'],,,,
7,MK-8353,8022,80,['MK-8353', 'SCH900353'],,,,,
8,CC-90003,7807,80,['CC-90003'],,,,,,
9,SCH772984,7613,80,['SCH772984'],,,,,,
10,BVD-523,7114,80,['BVD-523', 'Ulixertinib'],,,,,
11,KO-947,8768,80,['KO-947'],,,,,,
0,UNC1999,7331,83,['UNC1999'],,,,,,
1,DS-3201b,8746,83,['DS-3201b', 'DS-3201'],,,,,
0,GSK126,7845,84,['GSK126'],,,,,,
1,CPI-169,7858,84,['CPI-169'],,,,,,
2,UNC1999,7331,84,['UNC1999'],,,,,,
3,DZNeP,7664,84,['DZNeP', '3-Deazaneplanocin A'],,,,,
4,JQEZ5,8432,84,['JQEZ5'],,,,,,
5,EPZ005687,7638,84,['EPZ005687'],,,,,,
6,DS-3201b,8746,84,['DS-3201b', 'DS-3201'],,,,,
7,CPI-1205,7688,84,['CPI-1205'],,,,,,
8,GSK2816126,7689,84,['GSK2816126'],,,,,,
9,Tazemetostat,7650,84,['Tazemetostat', 'E-7438', 'EPZ-6438', 'EPZ6438'],,,
10,GSK343,7663,84,['GSK343'],,,,,,
11,EPZ011989,7846,84,['EPZ011989'],,,,,,
12,EI1,7847,84,['EI1'],,,,,,
0,GSK2256098,7929,85,['GSK2256098'],,,,,,
1,VS-6063,7077,85,['VS-6063', 'Defactinib'],,,,,
2,TAE226,7424,85,['TAE226'],,,,,,
3,PH11,8154,85,['PH11'],,,,,,
4,VS-4718,7361,85,['VS-4718'],,,,,,
5,PF-562271,7425,85,['PF-562271', 'PF-562,271', 'VS-6062'],,,
6,BI 853520,8161,85,['BI 853520'],,,,,,
7,Y15,7426,85,['Y15', '1,2,4,5-benzenetetraamine tetrahydrochloride'],,
8,CT-707,8604,85,['CT-707'],,,,,,
9,PF-573228,8151,85,['PF-573228'],,,,,,
10,PF-431396,8676,85,['PF-431396'],,,,,,
11,CEP-37440,7441,85,['CEP-37440'],,,,,,
12,PF-00562271,6982,85,['PF-00562271'],,,,,,
13,PHM16,8159,85,['PHM16'],,,,,,
0,FTI-277,7317,86,['FTI-277'],,,,,,
1,Tipifarnib,7032,86,['Tipifarnib', 'Zarnestra', 'R115777'],,,,
2,Lonafarnib,6939,86,['Lonafarnib', 'Sarasar', 'SCH66336'],,,,
0,Ponatinib,6808,89,['Ponatinib', 'Iclusig', 'AP24534'],,,,
1,SSR128129E,7544,89,['SSR128129E'],,,,,,
2,Dovitinib,6897,89,['Dovitinib', 'CHIR-258', 'TKI258'],,,,
3,FIIN-1,7543,89,['FIIN-1'],,,,,,
4,PRN1371,8148,89,['PRN1371'],,,,,,
5,TAS-120,7171,89,['TAS-120'],,,,,,
6,HMPL-453,8200,89,['HMPL-453'],,,,,,
7,Lenvatinib,6934,89,['Lenvatinib', 'Lenvima', 'E7080'],,,,
8,ASP5878,8149,89,['ASP5878'],,,,,,
9,BGJ398,6869,89,['BGJ398'],,,,,,
10,JNJ-42756493,7144,89,['JNJ-42756493', 'Erdafitinib'],,,,,
11,Nintedanib,6964,89,['Nintedanib', 'Ofev', 'BIBF 1120', 'Vargatef'],,,
12,AZ6089,7870,89,['AZ6089', 'AZ12576089'],,,,,
13,FIIN-2,8683,89,['FIIN-2'],,,,,,
14,LY2874455,7398,89,['LY2874455'],,,,,,
0,AZD4547,6857,90,['AZD4547'],,,,,,
1,Brivanib,7113,90,['Brivanib', 'BMS-540215'],,,,,
2,Lucitanib ,7145,90,['Lucitanib ', 'AL3810', 'E-3810'],,,,
3,SU11652,7465,90,['SU11652'],,,,,,
4,ARQ 087,7823,90,['ARQ 087'],,,,,,
5,INCB054828,8373,90,['INCB054828'],,,,,,
6,Danusertib,6895,90,['Danusertib', 'PHA-739358'],,,,,
7,Pazopanib,4734,90,['Pazopanib', 'Votrient', 'GW-786034'],,,,
8,PD173074,7864,90,['PD173074'],,,,,,
9,Orantinib,6973,90,['Orantinib', 'SU6668', 'TSU-68'],,,,
10,Sulfatinib,8196,90,['Sulfatinib', 'HMPL-012'],,,,,
11,Rogaratinib,7396,90,['Rogaratinib', 'BAY 1163877', 'BAY-1163877', 'BAY1163877'],,,
12,AZ8010,7869,90,['AZ8010', 'AZ12908010'],,,,,
13,ENMD-2076,6903,90,['ENMD-2076'],,,,,,
14,KW-2449,7609,90,['KW-2449'],,,,,,
15,SPP86,7865,90,['SPP86'],,,,,,
16,SU5402,8025,90,['SU5402'],,,,,,
17,E7090,8577,90,['E7090'],,,,,,
18,Debio 1347,7130,90,['Debio 1347', 'CH5183284', 'FF284'],,,,
19,S-49076,7450,90,['S-49076'],,,,,,
20,XL999,7053,90,['XL999'],,,,,,
0,FPA144,7851,91,['FPA144'],,,,,,
1,BAY1179470,7850,91,['BAY1179470', 'BAY 1179470'],,,,,
2,BAY1187982,7849,91,['BAY1187982', 'FGFR2-ADC'],,,,,
0,ENMD-2076,6903,92,['ENMD-2076'],,,,,,
1,AZ8010,7869,92,['AZ8010', 'AZ12908010'],,,,,
2,Rogaratinib,7396,92,['Rogaratinib', 'BAY 1163877', 'BAY-1163877', 'BAY1163877'],,,
3,Pazopanib,4734,92,['Pazopanib', 'Votrient', 'GW-786034'],,,,
4,ARQ 087,7823,92,['ARQ 087'],,,,,,
5,INCB054828,8373,92,['INCB054828'],,,,,,
6,TAK-901,7286,92,['TAK-901'],,,,,,
7,AZD4547,6857,92,['AZD4547'],,,,,,
8,Lucitanib ,7145,92,['Lucitanib ', 'AL3810', 'E-3810'],,,,
9,Debio 1347,7130,92,['Debio 1347', 'CH5183284', 'FF284'],,,,
10,S-49076,7450,92,['S-49076'],,,,,,
11,E7090,8577,92,['E7090'],,,,,,
12,PHM16,8159,92,['PHM16'],,,,,,
13,SPP86,7865,92,['SPP86'],,,,,,
14,SU5402,8025,92,['SU5402'],,,,,,
0,B-701,7852,93,['B-701'],,,,,,
1,LY3076226,7964,93,['LY3076226'],,,,,,
2,MGFR1877S,7821,93,['MGFR1877S', 'RG744'],,,,,
3,MFGR1877S,7853,93,['MFGR1877S'],,,,,,
0,Pazopanib,4734,94,['Pazopanib', 'Votrient', 'GW-786034'],,,,
1,Rogaratinib,7396,94,['Rogaratinib', 'BAY 1163877', 'BAY-1163877', 'BAY1163877'],,,
2,AZ8010,7869,94,['AZ8010', 'AZ12908010'],,,,,
3,AZD4547,6857,94,['AZD4547'],,,,,,
4,ARQ 087,7823,94,['ARQ 087'],,,,,,
5,INCB054828,8373,94,['INCB054828'],,,,,,
6,E7090,8577,94,['E7090'],,,,,,
7,Debio 1347,7130,94,['Debio 1347', 'CH5183284', 'FF284'],,,,
8,S-49076,7450,94,['S-49076'],,,,,,
9,XL999,7053,94,['XL999'],,,,,,
10,R3Mab,7270,94,['R3Mab'],,,,,,
11,SU5402,8025,94,['SU5402'],,,,,,
12,PD173074,7864,94,['PD173074'],,,,,,
0,BLU9931,7545,95,['BLU9931'],,,,,,
1,ISIS-FGFR4Rx,7566,95,['ISIS-FGFR4Rx'],,,,,,
2,PD173074,7864,95,['PD173074'],,,,,,
3,FGF401,7397,95,['FGF401'],,,,,,
4,BLU-554,7965,95,['BLU-554'],,,,,,
0,TAK-901,7286,96,['TAK-901'],,,,,,
1,Quizartinib,6997,96,['Quizartinib', 'AC220'],,,,,
2,GTP-14564,7464,96,['GTP-14564'],,,,,,
3,SU14813,8523,96,['SU14813'],,,,,,
4,Cabozantinib,7115,96,['Cabozantinib', 'Cometriq', 'Cabometyx', 'Cabozantinib-s-malate', 'XL184'],,
5,TG101209,7509,96,['TG101209'],,,,,,
6,Dovitinib,6897,96,['Dovitinib', 'CHIR-258', 'TKI258'],,,,
7,Lestaurtinib,6935,96,['Lestaurtinib', 'CEP-701'],,,,,
8,Famitinib,7063,96,['Famitinib', 'SHR1020'],,,,,
9,Go6976,7497,96,['Go6976'],,,,,,
10,TP-3654,8201,96,['TP-3654', 'SGI-9481'],,,,,
11,Ki23819,7606,96,['Ki23819'],,,,,,
12,AG1295,7584,96,['AG1295', 'AG-1295'],,,,,
13,Linifanib,6937,96,['Linifanib', 'ABT-869', 'AL-39324'],,,,
14,TCS 359,7610,96,['TCS 359'],,,,,,
15,Sorafenib,390,96,['Sorafenib', 'Nexavar', 'BAY 43-9006'],,,,
16,Pacritinib,7378,96,['Pacritinib', 'SB1518'],,,,,
17,Midostaurin,6949,96,['Midostaurin', 'Rydapt', 'CGP 41251', 'PKC412'],,,
18,Brigatinib,6840,96,['Brigatinib', 'Alunbrig', 'AP26113'],,,,
19,XL999,7053,96,['XL999'],,,,,,
20,Sunitinib,1255,96,['Sunitinib', 'Sutent', 'SU011248'],,,,
21,Crenolanib,6889,96,['Crenolanib', 'CP-868596'],,,,,
22,SAR302503,7017,96,['SAR302503', 'Fedratinib', 'TG101348'],,,,
23,Gilteritinib,7799,96,['Gilteritinib', 'ASP2215'],,,,,
24,PLX3397,6991,96,['PLX3397', 'Pexidartinib'],,,,,
25,SEL24-B489,8209,96,['SEL24-B489', 'SEL24'],,,,,
26,MRX-2843,8593,96,['MRX-2843'],,,,,,
27,Debio 0617B,8555,96,['Debio 0617B'],,,,,,
28,LY2801653,7147,96,['LY2801653', 'Merestinib'],,,,,
29,FLX925  ,7560,96,['FLX925  ', 'AMG925'],,,,,
30,Semaxanib,7586,96,['Semaxanib', 'SU5416'],,,,,
31,UNC2025,8015,96,['UNC2025'],,,,,,
32,Amuvatinib,6839,96,['Amuvatinib', 'HPK56', 'MP470'],,,,
33,ENMD-2076,6903,96,['ENMD-2076'],,,,,,
34,TG02,8828,96,['TG02', 'SB1317'],,,,,
35,AGL2043,7585,96,['AGL2043', 'AGL-2043'],,,,,
36,Ponatinib,6808,96,['Ponatinib', 'Iclusig', 'AP24534'],,,,
37,E6201,7128,96,['E6201'],,,,,,
38,G-749,7611,96,['G-749'],,,,,,
39,rebastinib,7163,96,['rebastinib', 'DCC-2036'],,,,,
40,Tandutinib,7028,96,['Tandutinib', 'CT53518', 'MLN518'],,,,
41,AKN-028,7967,96,['AKN-028', 'AKN028', 'BVT-II'],,,,
42,BPR1J373,8543,96,['BPR1J373'],,,,,,
43,KW-2449,7609,96,['KW-2449'],,,,,,
44,Cenisertib,6848,96,['Cenisertib', 'AS703569'],,,,,
0,EC0225,7988,97,['EC0225'],,,,,,
1,Farletuzumab,7975,97,['Farletuzumab', 'MORAb-003'],,,,,
2,BGC 638,7982,97,['BGC 638', 'CB300638'],,,,,
3,Vintafolide,7976,97,['Vintafolide', 'EC145'],,,,,
4,EC0905,7986,97,['EC0905'],,,,,,
5,BMS753493,7989,97,['BMS753493'],,,,,,
6,MOv18IgE,7980,97,['MOv18IgE'],,,,,,
7,IMGN853,7977,97,['IMGN853', 'M9346A-sulfo-SPDB-DM4', 'Mirvetuximab Soravtansine'],,,,
8,EC17,7987,97,['EC17'],,,,,,
9,BGC 945,7978,97,['BGC 945', 'ONX-0801'],,,,,
10,Plevitrexed,7981,97,['Plevitrexed', 'BGC 9331', 'ZD9331'],,,,
0,MK0752,6952,99,['MK0752', 'MK-0752'],,,,,
1,YO-01027,7579,99,['YO-01027', 'Dibenzazepine'],,,,,
2,LY900009,8734,99,['LY900009'],,,,,,
3,RO4929097,7009,99,['RO4929097'],,,,,,
4,PF-03084014,6983,99,['PF-03084014'],,,,,,
5,LY411575,7578,99,['LY411575'],,,,,,
6,DAPT,7581,99,['DAPT', 'GSI-IX'],,,,,
7,MRK-003,7200,99,['MRK-003'],,,,,,
8,L-685458,7315,99,['L-685458', 'L-685,458'],,,,
9,Semagacestat,7577,99,['Semagacestat', 'LY450139'],,,,,
10,Avagacestat,7580,99,['Avagacestat', 'BMS-708163'],,,,,
11,GSI-18,7311,99,['GSI-18'],,,,,,
0,Glabrescione B,8294,100,['Glabrescione B', 'GlaB'],,,,,
1,GANT58,7619,100,['GANT58'],,,,,,
2,Arsenic trioxide,1156,100,['Arsenic trioxide', 'Trisenox', 'ATO'],,,,
3,GANT61,7341,100,['GANT61'],,,,,,
4,NanoHHI,8252,100,['NanoHHI'],,,,,,
5,HPI-1,8251,100,['HPI-1'],,,,,,
0,SNS-032,7681,101,['SNS-032', 'BMS-387032'],,,,,
0,PHA-533533,7678,102,['PHA-533533'],,,,,,
1,PBA2,8311,102,['PBA2'],,,,,,
2,Ro 31-8220,7496,102,['Ro 31-8220', 'Ro 318220', 'Ro-31-8220'],,,,
0,GS87,8458,103,['GS87'],,,,,,
0,CHR-3996,7902,104,['CHR-3996'],,,,,,
1,Citarinostat,8030,104,['Citarinostat', 'ACY-241'],,,,,
2,Romidepsin ,7191,104,['Romidepsin ', 'Istodax', 'depsipeptide', 'FK228', 'FR901228', 'NSC 630176'],
3,AR-42 ,7101,104,['AR-42 ', 'HDAC42'],,,,,
4,Givinostat,7632,104,['Givinostat', 'ITF2357'],,,,,
5,Vorinostat,7193,104,['Vorinostat', 'Zolinza', 'L-001079038', 'MSK390', 'SAHA'],,
6,ACY-957,8364,104,['ACY-957'],,,,,,
7,Ricolinostat,7297,104,['Ricolinostat', 'ACY-1215'],,,,,
8,CUDC-101,7124,104,['CUDC-101'],,,,,,
9,Dacinostat,8596,104,['Dacinostat', 'LAQ824'],,,,,
10,Tacedinaline,8691,104,['Tacedinaline', 'CI-994', 'N-acetyldinaline'],,,,
11,CUDC-907,7062,104,['CUDC-907'],,,,,,
12,4SC-202,8361,104,['4SC-202'],,,,,,
13,EDO-S101,8916,104,['EDO-S101'],,,,,,
14,Mocetinostat,7899,104,['Mocetinostat', 'MGCD0103'],,,,,
15,ST7612AA1,8318,104,['ST7612AA1'],,,,,,
16,MPT0E028,7633,104,['MPT0E028'],,,,,,
17,Pracinostat,7332,104,['Pracinostat', 'SB939'],,,,,
18,M344,8695,104,['M344'],,,,,,
